"","Gene_name","Description","log2FC_male-female","q-value"
"1338","CASTOR2","Cytosolic arginine sensor for mTORC1 subunit 2",0.0644116533713408,0.592606903804535
"1339","STRAP","Serine-threonine kinase receptor-associated protein",0.0642569210209345,0.434946708145277
"1340","PYGB","Glycogen phosphorylase, brain form",0.0640110686592763,0.56607146699085
"1341","LYRM4","LYR motif-containing protein 4",0.0638623524108421,0.58130634452048
"1342","CARS1","Cysteine--tRNA ligase, cytoplasmic",0.0637610882711979,0.559062024270807
"1343","SIRT3","NAD-dependent protein deacetylase sirtuin-3, mitochondrial",0.0636885925228992,0.55586115345066
"1344","PA2G4","Proliferation-associated protein 2G4",0.0636726692238945,0.404066021069232
"1345","SDR39U1","Epimerase family protein SDR39U1",0.0636386725970528,0.528031906839363
"1346","CCT3","T-complex protein 1 subunit gamma",0.063631472766815,0.468117193883276
"1347","MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic",0.0634663266328506,0.377816116417016
"1348","PRKDC","DNA-dependent protein kinase catalytic subunit",0.0629311165476398,0.419101352236636
"1349","MTIF2","Translation initiation factor IF-2, mitochondrial",0.0625256983608296,0.595289336110693
"1350","SNRNP200","U5 small nuclear ribonucleoprotein 200 kDa helicase",0.0623595451445009,0.49128166958303
"1351","LARS1","Leucine--tRNA ligase, cytoplasmic",0.0622149784301396,0.481167024126379
"1352","SELENOO","Protein adenylyltransferase SelO, mitochondrial",0.06209083695183,0.560397122355937
"1353","TRAPPC3","Trafficking protein particle complex subunit 3",0.0620515148067362,0.538404962920641
"1354","C19orf12","Protein C19orf12",0.0619601639044696,0.592606903804535
"1355","NUP62","Nuclear pore glycoprotein p62",0.0618529206546601,0.634974977224953
"1356","EEF2K","Eukaryotic elongation factor 2 kinase",0.0617092996161102,0.581847596057773
"1357","RPS6KA3","Ribosomal protein S6 kinase alpha-3",0.0615566154914919,0.332823276005914
"1358","VTA1","Vacuolar protein sorting-associated protein VTA1 homolog",0.0615235977442161,0.568050604929914
"1359","ACTR1A","Alpha-centractin",0.061480254919573,0.409589625151719
"1360","PDXK","Pyridoxal kinase",0.0614276935453031,0.451357149744249
"1361","AP1B1","AP-1 complex subunit beta-1",0.0608966971983573,0.583871219693944
"1362","ECH1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.0608046653056089,0.594432993799736
"1363","LUC7L2","Putative RNA-binding protein Luc7-like 2",0.0606962290593014,0.600877875187085
"1364","CAPN3","Calpain-3",0.0605935605903252,0.45678829701829
"1365","DMTN","Dematin",0.0605697515593739,0.651846113936223
"1366","YWHAZ","14-3-3 protein zeta/delta",0.0604794441180072,0.571047652625367
"1367","CAPG","Macrophage-capping protein",0.0604582205255948,0.549912352127999
"1368","PEBP1","Phosphatidylethanolamine-binding protein 1",0.0600891424941565,0.465400065397096
"1369","MRPL39","39S ribosomal protein L39, mitochondrial",0.0599148086862122,0.524395834714313
"1370","CLTB","Clathrin light chain B",0.0598089471806205,0.494863987414496
"1371","DHPS","Deoxyhypusine synthase",0.0596212236520497,0.608958292925362
"1372","HOMER1","Homer protein homolog 1",0.059449101883672,0.45678829701829
"1373","CUTC","Copper homeostasis protein cutC homolog",0.0590002498735256,0.538404962920641
"1374","C11orf54","Ester hydrolase C11orf54",0.0589714817814748,0.538732204205856
"1375","MDP1","Magnesium-dependent phosphatase 1",0.0587498330243736,0.592606903804535
"1376","BTF3L4","Transcription factor BTF3 homolog 4",0.0584790734595177,0.567732225151467
"1377","SMAD2","Mothers against decapentaplegic homolog 2",0.0583153908242622,0.604091482732712
"1378","RPL27","60S ribosomal protein L27",0.0582354120579165,0.507836066785425
"1379","PANK4","4'-phosphopantetheine phosphatase",0.0580220279405275,0.447645991610453
"1380","LMNB2","Lamin-B2",0.0579782665079343,0.434946708145277
"1381","COA1","Cytochrome c oxidase assembly factor 1 homolog",0.0579309060194362,0.62125243230096
"1382","LIPE","Hormone-sensitive lipase",0.0575679581835171,0.644407212444835
"1383","TGM2","Protein-glutamine gamma-glutamyltransferase 2",0.0573509319127794,0.600884461485946
"1384","ELOC","Elongin-C",0.0572563258800223,0.472442746976208
"1385","DDB1","DNA damage-binding protein 1",0.057211731504955,0.399870727450053
"1386","BLVRA","Biliverdin reductase A",0.0571880565126701,0.472442746976208
"1387","SCO1","Protein SCO1 homolog, mitochondrial",0.0571481427228289,0.52603191787558
"1388","THY1","Thy-1 membrane glycoprotein",0.0571331682738592,0.61343955598305
"1389","NDUFS5","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5",0.0571271260451294,0.56919828983523
"1390","TMX3","Protein disulfide-isomerase TMX3",0.057044697129033,0.528031906839363
"1391","ANXA6","Annexin A6",0.0569797053188452,0.44781906694492
"1392","NGLY1","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase",0.0568650989559139,0.568050604929914
"1393","EIF4G1","Eukaryotic translation initiation factor 4 gamma 1",0.0568364839000282,0.41533919941508
"1394","TPR","Nucleoprotein TPR",0.0558081285714351,0.561324997411251
"1395","PDIA3","Protein disulfide-isomerase A3",0.0557785532513666,0.388833155454917
"1396","STAU2","Double-stranded RNA-binding protein Staufen homolog 2",0.0556870147137722,0.624100420151047
"1397","ITGA1","Integrin alpha-1",0.0556739922746647,0.592606903804535
"1398","CAV2","Caveolin-2",0.0556057465654298,0.575326858961952
"1399","HYPK","Huntingtin-interacting protein K",0.0555212406226087,0.586267326135289
"1400","PSMD12","26S proteasome non-ATPase regulatory subunit 12",0.0555149929500818,0.434946708145277
"1401","RPS4X","40S ribosomal protein S4, X isoform",0.0552867288810148,0.51662079591633
"1402","CHP1","Calcineurin B homologous protein 1",0.055131032747143,0.54842457707473
"1403","LPIN1","Phosphatidate phosphatase LPIN1",0.0551239346164056,0.58083390763931
"1404","NUBP1","Cytosolic Fe-S cluster assembly factor NUBP1",0.0548471940505255,0.592290404597245
"1405","STIM1","Stromal interaction molecule 1",0.054728128671206,0.548859129923219
"1406","BAG2","BAG family molecular chaperone regulator 2",0.0544848903138657,0.529151433249068
"1407","PLAA","Phospholipase A-2-activating protein",0.0541965979862038,0.451728876196246
"1408","COX7A2","Cytochrome c oxidase subunit 7A2, mitochondrial",0.0539183724003092,0.624100420151047
"1409","BSG","Basigin",0.0537243657845838,0.547739286423177
"1410","PRKAR1B","cAMP-dependent protein kinase type I-beta regulatory subunit",0.0536421198998838,0.583871219693944
"1411","PAFAH1B1","Platelet-activating factor acetylhydrolase IB subunit beta",0.0536295150349613,0.493417603633658
"1412","H4C16","Histone H4",0.0535942618175191,0.51662079591633
"1413","GFER","FAD-linked sulfhydryl oxidase ALR",0.0535267030591129,0.535598196835375
"1414","DDX39B","Spliceosome RNA helicase DDX39B",0.0534255813550359,0.475788129751725
"1415","APOOL","MICOS complex subunit MIC27",0.0532101308985471,0.539837892941415
"1416","HSPH1","Heat shock protein 105 kDa",0.0525976187989983,0.58083390763931
"1417","PDIA4","Protein disulfide-isomerase A4",0.0525876553726938,0.604640651136397
"1418","PLXND1","Plexin-D1",0.0524623087419567,0.611216438560017
"1419","STOM","Stomatin",0.0520804986938668,0.58083390763931
"1420","RCN2","Reticulocalbin-2",0.0520424576603933,0.592606903804535
"1421","LSM8","U6 snRNA-associated Sm-like protein LSm8",0.0517299877239861,0.596986701308861
"1422","ASPA","Aspartoacylase",0.0515717770003619,0.5429114240869
"1423","NAPA","Alpha-soluble NSF attachment protein",0.0515484278112233,0.387398766798108
"1424","UGGT1","UDP-glucose:glycoprotein glucosyltransferase 1",0.051360641188765,0.486922253205895
"1425","MAPK14","Mitogen-activated protein kinase 14",0.0511311530764242,0.510578187835472
"1426","RPL18A","60S ribosomal protein L18a",0.0510936283233221,0.592606903804535
"1427","MAPK3","Mitogen-activated protein kinase 3",0.0510055280416815,0.552699441550142
"1428","PLS3","Plastin-3",0.0510025493992714,0.560397122355937
"1429","NPEPPS","Puromycin-sensitive aminopeptidase",0.0509578344305943,0.497223433483801
"1430","RAB7A","Ras-related protein Rab-7a",0.0509182075997341,0.54502304471538
"1431","PRRC2A","Protein PRRC2A",0.0508894186381212,0.621258073341029
"1432","IDH3B","Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",0.0508870558730994,0.538404962920641
"1433","TPD52L2","Tumor protein D54",0.0506796172651569,0.54502304471538
"1434","ATP6V1B2","V-type proton ATPase subunit B, brain isoform",0.0506573982736782,0.507650895680724
"1435","PFKFB1","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",0.0504177752908781,0.583871219693944
"1436","HIBADH","3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.0504084108618237,0.569739291884684
"1437","DYNC1I2","Cytoplasmic dynein 1 intermediate chain 2",0.049988304137873,0.512216943420789
"1438","HTATSF1","HIV Tat-specific factor 1",0.0499557070299232,0.612223052460844
"1439","MTM1","Myotubularin",0.04981537407809,0.563078997734949
"1440","PTGR2","Prostaglandin reductase 2",0.0493544045267349,0.529984635471978
"1441","RPL15","60S ribosomal protein L15",0.0492716352951508,0.561324997411251
"1442","CTF1","Cardiotrophin-1",0.0492559763868243,0.613849581783005
"1443","XPNPEP1","Xaa-Pro aminopeptidase 1",0.0490503463281478,0.49155008523684
"1444","ARPC3","Actin-related protein 2/3 complex subunit 3",0.0490003401292363,0.518382203541629
"1445","MRPS22","28S ribosomal protein S22, mitochondrial",0.0487324699480975,0.588460147069806
"1446","TMEM186","Transmembrane protein 186",0.0484707275940597,0.629882468336464
"1447","GALM","Galactose mutarotase",0.0484622087479956,0.550111221942715
"1448","SGCA","Alpha-sarcoglycan",0.0483791187237301,0.493941251441662
"1449","DHRS7C","Dehydrogenase/reductase SDR family member 7C",0.0483534014348876,0.586659942848303
"1450","POR","NADPH--cytochrome P450 reductase",0.0483433261202446,0.605851791692319
"1451","SMYD1","Histone-lysine N-methyltransferase SMYD1",0.048334764209665,0.560397122355937
"1452","GSN","Gelsolin",0.0480129069908877,0.528031906839363
"1453","UBE3A","Ubiquitin-protein ligase E3A",0.0479289059968178,0.496446338680025
"1454","CLIC4","Chloride intracellular channel protein 4",0.0478044709673586,0.593589213891686
"1455","TRIM63","E3 ubiquitin-protein ligase TRIM63",0.0477376010213977,0.595289336110693
"1456","TMEM223","Transmembrane protein 223",0.0476475177868227,0.578084618454377
"1457","HSP90AB1","Heat shock protein HSP 90-beta",0.0475672184573881,0.539270697762702
"1458","PSMB2","Proteasome subunit beta type-2",0.0473254415594955,0.507650895680724
"1459","FRMD8","FERM domain-containing protein 8",0.0472826137501201,0.609189852692319
"1460","YAP1","Transcriptional coactivator YAP1",0.0470866552117197,0.58461480646062
"1461","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0.0470045280711453,0.624357257622619
"1462","YTHDF3","YTH domain-containing family protein 3",0.0467597883518032,0.583871219693944
"1463","CCT6A","T-complex protein 1 subunit zeta",0.0467394845894376,0.52857585112997
"1464","HSPA5","Endoplasmic reticulum chaperone BiP",0.0466675695922625,0.52857585112997
"1465","SUB1","Activated RNA polymerase II transcriptional coactivator p15",0.0466269416898868,0.612223052460844
"1466","ORM2","Alpha-1-acid glycoprotein 2",0.0462929804759167,0.600877875187085
"1467","VPS37C","Vacuolar protein sorting-associated protein 37C",0.0462393901736178,0.592290404597245
"1468","GUK1","Guanylate kinase",0.046203914672251,0.606257402378484
"1469","SERPINH1","Serpin H1",0.0461283667861618,0.560397122355937
"1470","RAB6A","Ras-related protein Rab-6A",0.0460761954930966,0.575218148697835
"1471","CD59","CD59 glycoprotein",0.0457217480312089,0.520193364923672
"1472","AHCYL2","Adenosylhomocysteinase 3",0.0455533060028319,0.543937077725126
"1473","MOB4","MOB-like protein phocein",0.0452846177205082,0.592290404597245
"1474","DERA","Deoxyribose-phosphate aldolase",0.0451046299097939,0.547817233688849
"1475","PEBP4","Phosphatidylethanolamine-binding protein 4",0.0449757887147157,0.624357257622619
"1476","COPS3","COP9 signalosome complex subunit 3",0.0449019384869818,0.521264394114649
"1477","G3BP1","Ras GTPase-activating protein-binding protein 1",0.0448365108477784,0.546291638623753
"1478","CCT8","T-complex protein 1 subunit theta",0.0443725126135188,0.507650895680724
"1479","BAX","Apoptosis regulator BAX",0.0443085573011235,0.549912352127999
"1480","DUSP29","Dual specificity phosphatase 29",0.0442605964281686,0.594432993799736
"1481","FXR1","RNA-binding protein FXR1",0.0439959258373417,0.521604007073304
"1482","SRSF3","Serine/arginine-rich splicing factor 3",0.0439665937523035,0.551272634257972
"1483","PTGES3","Prostaglandin E synthase 3",0.0438455813468437,0.592606903804535
"1484","LMNA","Prelamin-A/C",0.0436919841887615,0.535598196835375
"1485","TSSC4","Protein TSSC4",0.0436688577865443,0.606094972965683
"1486","MTX2","Metaxin-2",0.0435527055833411,0.567732225151467
"1487","CPT1B","Carnitine O-palmitoyltransferase 1, muscle isoform",0.0434117100885114,0.621258073341029
"1488","PNPO","Pyridoxine-5'-phosphate oxidase",0.0432138766997898,0.583871219693944
"1489","MRRF","Ribosome-recycling factor, mitochondrial",0.0432090169426562,0.600877875187085
"1490","MDH1","Malate dehydrogenase, cytoplasmic",0.043149108025748,0.605002254501627
"1491","RPLP0","60S acidic ribosomal protein P0",0.0429474678640425,0.538059528112591
"1492","OSBPL6","Oxysterol-binding protein-related protein 6",0.0429417442582167,0.61343955598305
"1493","CLTC","Clathrin heavy chain 1",0.0427568516094397,0.487448318350823
"1494","RPL10A","60S ribosomal protein L10a",0.0427128002951989,0.583871219693944
"1495","EMC10","ER membrane protein complex subunit 10",0.0427026182710399,0.616093357920042
"1496","SLC9A3R2","Na(+)/H(+) exchange regulatory cofactor NHE-RF2",0.0426958415205547,0.604640651136397
"1497","PGPEP1","Pyroglutamyl-peptidase 1",0.0426141951964638,0.624100420151047
"1498","SGCG","Gamma-sarcoglycan",0.0424728353758717,0.538059528112591
"1499","RETREG1","Reticulophagy regulator 1",0.0423363529249094,0.612223052460844
"1500","ALDH5A1","Succinate-semialdehyde dehydrogenase, mitochondrial",0.0422920429254994,0.592187739405476
"1501","SEC31A","Protein transport protein Sec31A",0.0419172311924285,0.579806948409771
"1502","TMED2","Transmembrane emp24 domain-containing protein 2",0.0416329229340224,0.621910452362544
"1503","YME1L1","ATP-dependent zinc metalloprotease YME1L1",0.0409150138876786,0.624100420151047
"1504","RNH1","Ribonuclease inhibitor",0.0406234025550045,0.558516077495661
"1505","HEBP2","Heme-binding protein 2",0.0406194666115116,0.507032157506338
"1506","SNTB1","Beta-1-syntrophin",0.040536676001901,0.617142040670973
"1507","RABGEF1","Rab5 GDP/GTP exchange factor",0.0405357104290704,0.583871219693944
"1508","ASAH1","Acid ceramidase",0.0405000655259702,0.592606903804535
"1509","FHL1","Four and a half LIM domains protein 1",0.0403673720447273,0.538059528112591
"1510","MYH10","Myosin-10",0.0403628465144799,0.577297396209866
"1511","CCT5","T-complex protein 1 subunit epsilon",0.0401551076002207,0.524395834714313
"1512","GIT2","ARF GTPase-activating protein GIT2",0.0399807849595106,0.588460147069806
"1513","APEX1","DNA-(apurinic or apyrimidinic site) endonuclease",0.039948220898598,0.5564645772919
"1514","MRPS18B","28S ribosomal protein S18b, mitochondrial",0.0393279199191419,0.619698345377082
"1515","SFXN1","Sideroflexin-1",0.0392039943205624,0.630777158690002
"1516","NUDC","Nuclear migration protein nudC",0.0390211645483092,0.568481208640041
"1517","RARS1","Arginine--tRNA ligase, cytoplasmic",0.0390179178192067,0.537851033571241
"1518","PPP1R1A","Protein phosphatase 1 regulatory subunit 1A",0.0389118698920239,0.601437567622575
"1519","ABCB7","Iron-sulfur clusters transporter ABCB7, mitochondrial",0.0388333822895923,0.642652926928128
"1520","ATOX1","Copper transport protein ATOX1",0.0387226963834557,0.573251214578429
"1521","NANS","Sialic acid synthase",0.0385587951554935,0.560397122355937
"1522","TIMM21","Mitochondrial import inner membrane translocase subunit Tim21",0.0383040010341826,0.591216103491209
"1523","CALD1","Caldesmon",0.0379196771014705,0.60049001925294
"1524","SNF8","Vacuolar-sorting protein SNF8",0.0376979856511674,0.603785255420291
"1525","NDUFA9","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",0.037517364967659,0.616959260723727
"1526","PSMC2","26S proteasome regulatory subunit 7",0.0374815058386204,0.489952857002676
"1527","TIPRL","TIP41-like protein",0.0374039708315212,0.58083390763931
"1528","DCAF7","DDB1- and CUL4-associated factor 7",0.0373658775651933,0.543175439670845
"1529","PRMT1","Protein arginine N-methyltransferase 1",0.0370967251378751,0.538404962920641
"1530","SLC37A4","Glucose-6-phosphate exchanger SLC37A4",0.0369826038875871,0.624100420151047
"1531","ARIH1","E3 ubiquitin-protein ligase ARIH1",0.0369532267098389,0.529984635471978
"1532","MMRN2","Multimerin-2",0.0364731529568836,0.63598726844051
"1533","ALDOA","Fructose-bisphosphate aldolase A",0.0364018267987838,0.607853319958359
"1534","DSTN","Destrin",0.0362834423675498,0.592606903804535
"1535","PFDN2","Prefoldin subunit 2",0.0361952971807362,0.538404962920641
"1536","CAMK2B","Calcium/calmodulin-dependent protein kinase type II subunit beta",0.0359020808946955,0.519183668304986
"1537","H2BC12","Histone H2B type 1-K",0.0358923117495333,0.588460147069806
"1538","FXN","Frataxin, mitochondrial",0.0357823043479222,0.592606903804535
"1539","COMMD3","COMM domain-containing protein 3",0.0353617919605593,0.578084618454377
"1540","PFAS","Phosphoribosylformylglycinamidine synthase",0.0350592355185704,0.592290404597245
"1541","USP9X","Probable ubiquitin carboxyl-terminal hydrolase FAF-X",0.0350517501694583,0.560397122355937
"1542","TFB2M","Dimethyladenosine transferase 2, mitochondrial",0.0350222127396105,0.650910935775244
"1543","MLIP","Muscular LMNA-interacting protein",0.0349971792067976,0.589960626599341
"1544","NAXD","ATP-dependent (S)-NAD(P)H-hydrate dehydratase",0.0347636159273197,0.56884354196083
"1545","GLO1","Lactoylglutathione lyase",0.0346060016345753,0.581982032606367
"1546","PLIN4","Perilipin-4",0.0345232441887706,0.59446502606461
"1547","CARM1","Histone-arginine methyltransferase CARM1",0.0344994560726448,0.568050604929914
"1548","DDX17","Probable ATP-dependent RNA helicase DDX17",0.0343596602548129,0.551272634257972
"1549","DNAJB4","DnaJ homolog subfamily B member 4",0.034280185842448,0.601437567622575
"1550","ACAT2","Acetyl-CoA acetyltransferase, cytosolic",0.0342686833611534,0.621258073341029
"1551","PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",0.0340599818457097,0.47740022160549
"1552","DTNA","Dystrobrevin alpha",0.0339033512600899,0.561664605021554
"1553","RABGGTA","Geranylgeranyl transferase type-2 subunit alpha",0.0338870004527578,0.583871219693944
"1554","MAOA","Amine oxidase [flavin-containing] A",0.0338020273538877,0.641778777821378
"1555","DIABLO","Diablo IAP-binding mitochondrial protein",0.0337780149049696,0.607677902427438
"1556","LRRFIP1","Leucine-rich repeat flightless-interacting protein 1",0.033653118033774,0.62050164501885
"1557","CORO1C","Coronin-1C",0.0335820525337578,0.628179603838457
"1558","SCRN3","Secernin-3",0.0334737965754588,0.583501452028497
"1559","AARS1","Alanine--tRNA ligase, cytoplasmic",0.0334693238645709,0.543937077725126
"1560","ACTN2","Alpha-actinin-2",0.0333038912802373,0.561551355992968
"1561","CDKN1B","Cyclin-dependent kinase inhibitor 1B",0.0332129043194325,0.637029042790464
"1562","SPEG","Striated muscle preferentially expressed protein kinase",0.033013741870132,0.596986701308861
"1563","DEPTOR","DEP domain-containing mTOR-interacting protein",0.0328019387876903,0.636583645230719
"1564","CDK5RAP3","CDK5 regulatory subunit-associated protein 3",0.0327384816772671,0.611216438560017
"1565","MRI1","Methylthioribose-1-phosphate isomerase",0.0327378850785287,0.624357257622619
"1566","STRN3","Striatin-3",0.0325873358522522,0.592606903804535
"1567","AHCY","Adenosylhomocysteinase",0.0325725597801902,0.544109873892086
"1568","RHOC","Rho-related GTP-binding protein RhoC",0.0325001103629852,0.607677902427438
"1569","CARS2","Probable cysteine--tRNA ligase, mitochondrial",0.0321615833583682,0.611216438560017
"1570","ATP2B2","Plasma membrane calcium-transporting ATPase 2",0.0321547993585476,0.642260834777393
"1571","TPM4","Tropomyosin alpha-4 chain",0.0320132155007986,0.605840262407361
"1572","ILKAP","Integrin-linked kinase-associated serine/threonine phosphatase 2C",0.0318719722075542,0.607853319958359
"1573","ARCN1","Coatomer subunit delta",0.0318579727894672,0.611639608236027
"1574","LONP1","Lon protease homolog, mitochondrial",0.0316854863901561,0.566591075882902
"1575","C8A","Complement component C8 alpha chain",0.0315728696958715,0.656927393373787
"1576","CTSD","Cathepsin D",0.0315673343563105,0.593647068390441
"1577","ITGB1BP2","Integrin beta-1-binding protein 2",0.0313656984023574,0.616093357920042
"1578","SLC35E2B","Solute carrier family 35 member E2B",0.0312991665652635,0.651667201798073
"1579","STAT3","Signal transducer and activator of transcription 3",0.0312254242137691,0.632803820778249
"1580","MARS1","Methionine--tRNA ligase, cytoplasmic",0.0312102963119454,0.629882468336464
"1581","SRI","Sorcin",0.0310669765516778,0.594432993799736
"1582","RIC8A","Synembryn-A",0.0309138316758624,0.616093357920042
"1583","RUSF1","RUS family member 1",0.0308481840842134,0.629521661488672
"1584","NDUFA1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1",0.030490491920709,0.624100420151047
"1585","PRKCSH","Glucosidase 2 subunit beta",0.0304377500792121,0.58461480646062
"1586","WASHC2C","WASH complex subunit 2C",0.0303661231617962,0.642652926928128
"1587","DHX9","ATP-dependent RNA helicase A",0.0303063939557706,0.586412410133471
"1588","GATAD2B","Transcriptional repressor p66-beta",0.0300391124888151,0.621258073341029
"1589","UBR4","E3 ubiquitin-protein ligase UBR4",0.0299144356651695,0.621258073341029
"1590","ALDH6A1","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",0.0297173680646985,0.63598726844051
"1591","SDCBP","Syntenin-1",0.0297071991674951,0.624100420151047
"1592","PPA1","Inorganic pyrophosphatase",0.0294378618726174,0.581847596057773
"1593","ECPAS","Proteasome adapter and scaffold protein ECM29",0.0293672060014885,0.560096499163806
"1594","FYCO1","FYVE and coiled-coil domain-containing protein 1",0.029194315463128,0.589626372447917
"1595","RAB5B","Ras-related protein Rab-5B",0.0291650291213799,0.586116769246804
"1596","GNG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12",0.0287212185947894,0.621258073341029
"1597","CAP1","Adenylyl cyclase-associated protein 1",0.0286914813903554,0.600884461485946
"1598","SNX5","Sorting nexin-5",0.0286148985083639,0.588460147069806
"1599","YWHAH","14-3-3 protein eta",0.0285723709826211,0.588460147069806
"1600","SUN1","SUN domain-containing protein 1",0.0284545857797447,0.588460147069806
"1601","MRPL49","39S ribosomal protein L49, mitochondrial",0.0283256166201227,0.641184546735836
"1602","CA3","Carbonic anhydrase 3",0.0280919486841462,0.618773435683812
"1603","DARS1","Aspartate--tRNA ligase, cytoplasmic",0.027903076597882,0.56607146699085
"1604","MRPL40","39S ribosomal protein L40, mitochondrial",0.0278546024875279,0.641778777821378
"1605","PSMA5","Proteasome subunit alpha type-5",0.0278296243584997,0.538404962920641
"1606","MYOM3","Myomesin-3",0.0277893917129006,0.651846113936223
"1607","NIF3L1","NIF3-like protein 1",0.0276815183127752,0.58057122992721
"1608","GRPEL1","GrpE protein homolog 1, mitochondrial",0.0276393905238592,0.592290404597245
"1609","ACACB","Acetyl-CoA carboxylase 2",0.0275481071113486,0.586267326135289
"1610","CFL1","Cofilin-1",0.0275257437440057,0.611216438560017
"1611","STIP1","Stress-induced-phosphoprotein 1",0.0273804412858762,0.56884354196083
"1612","THNSL2","Threonine synthase-like 2",0.0271803611001467,0.63598726844051
"1613","TAGLN","Transgelin",0.0269729505365923,0.636583645230719
"1614","TCP1","T-complex protein 1 subunit alpha",0.0266186334107879,0.584135669649684
"1615","ANK3","Ankyrin-3",0.0265443237260268,0.609296805577891
"1616","MOCS3","Adenylyltransferase and sulfurtransferase MOCS3",0.0262343831502481,0.632803820778249
"1617","BTF3","Transcription factor BTF3",0.0261376568559601,0.644453150086534
"1618","DAG1","Dystroglycan 1",0.0260772946594567,0.584110228956019
"1619","CSNK1A1","Casein kinase I isoform alpha",0.0260481279870461,0.631731860028884
"1620","GSPT2","Eukaryotic peptide chain release factor GTP-binding subunit ERF3B",0.0257116231520715,0.641778777821378
"1621","TOM1L2","TOM1-like protein 2",0.0254432771075503,0.607853319958359
"1622","CAPN1","Calpain-1 catalytic subunit",0.0254004976864604,0.583480665297264
"1623","RAB21","Ras-related protein Rab-21",0.0249988494462912,0.593647068390441
"1624","HSPA12B","Heat shock 70 kDa protein 12B",0.0248793937124177,0.637823843915644
"1625","UBE2O","(E3-independent) E2 ubiquitin-conjugating enzyme",0.0247378589644729,0.617142040670973
"1626","GLRX3","Glutaredoxin-3",0.0241565361788272,0.613160811416272
"1627","PFDN5","Prefoldin subunit 5",0.0240520389784873,0.607853319958359
"1628","CDSN","Corneodesmosin",0.024037280236497,0.651846113936223
"1629","PTRH2","Peptidyl-tRNA hydrolase 2, mitochondrial",0.0239589997035328,0.631731860028884
"1630","UFD1","Ubiquitin recognition factor in ER-associated degradation protein 1",0.0239226593732873,0.604094493581245
"1631","MAPRE2","Microtubule-associated protein RP/EB family member 2",0.0239136539340237,0.620841368044729
"1632","UBXN1","UBX domain-containing protein 1",0.0236569892225198,0.621258073341029
"1633","GANAB","Neutral alpha-glucosidase AB",0.0236154016769525,0.599093578733305
"1634","PRPSAP2","Phosphoribosyl pyrophosphate synthase-associated protein 2",0.0236032616694946,0.630777158690002
"1635","NAXE","NAD(P)H-hydrate epimerase",0.0230971640453195,0.603785255420291
"1636","UBE2V2","Ubiquitin-conjugating enzyme E2 variant 2",0.0230017014216326,0.581983378081845
"1637","TNNT1","Troponin T, slow skeletal muscle",0.0226214775164983,0.668302399720082
"1638","PRDX2","Peroxiredoxin-2",0.0225701634883926,0.596986701308861
"1639","PEPD","Xaa-Pro dipeptidase",0.0225121254365312,0.621258073341029
"1640","PSMC3","26S proteasome regulatory subunit 6A",0.0224465431797984,0.591183105462376
"1641","PRDX6","Peroxiredoxin-6",0.0224238982359175,0.616093357920042
"1642","ABCC9","ATP-binding cassette sub-family C member 9",0.0224006652359474,0.651259183480433
"1643","PICALM","Phosphatidylinositol-binding clathrin assembly protein",0.0218790175400105,0.644407212444835
"1644","ANXA5","Annexin A5",0.02178497509321,0.63218420037193
"1645","PPP2R5D","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform",0.0217315566502698,0.611216438560017
"1646","PRPF8","Pre-mRNA-processing-splicing factor 8",0.0215893950545176,0.644453150086534
"1647","UBE2M","NEDD8-conjugating enzyme Ubc12",0.0215339140492805,0.624100420151047
"1648","COA4","Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",0.0215082893482439,0.651667201798073
"1649","EIF3C","Eukaryotic translation initiation factor 3 subunit C",0.021239967815637,0.595289336110693
"1650","RAB14","Ras-related protein Rab-14",0.021236548900335,0.611216438560017
"1651","UBE2H","Ubiquitin-conjugating enzyme E2 H",0.0209776786927289,0.630777158690002
"1652","SNRPE","Small nuclear ribonucleoprotein E",0.0207240034630178,0.632866700724629
"1653","JPH1","Junctophilin-1",0.0207072896695006,0.64919541225805
"1654","PEA15","Astrocytic phosphoprotein PEA-15",0.0206643503655659,0.629691497562062
"1655","PGLYRP2","N-acetylmuramoyl-L-alanine amidase",0.0206171904469254,0.651846113936223
"1656","CTSB","Cathepsin B",0.0203796696154637,0.630715820617324
"1657","C11orf68","UPF0696 protein C11orf68",0.0202288561614008,0.621258073341029
"1658","YWHAE","14-3-3 protein epsilon",0.0201986773483966,0.586412410133471
"1659","ROCK1","Rho-associated protein kinase 1",0.020167068717484,0.652822647820017
