"","Gene_name","Description","log2FC_post-pre","q-value"
"1496","RBM20","RNA-binding protein 20",0.0142568648673382,0.563025000329864
"1497","PSMA7","Proteasome subunit alpha type-7",0.0141363085398734,0.504447713826936
"1498","SNTB1","Beta-1-syntrophin",0.0139563493234984,0.563152741780206
"1499","ATG7","Ubiquitin-like modifier-activating enzyme ATG7",0.0139367537469184,0.56881438261598
"1500","CDC42","Cell division control protein 42 homolog",0.0139244486580221,0.521210578832116
"1501","TIMM10","Mitochondrial import inner membrane translocase subunit Tim10",0.0139127879517371,0.552630206791445
"1502","CLYBL","Citramalyl-CoA lyase, mitochondrial",0.0136759408160287,0.569423249879256
"1503","NPLOC4","Nuclear protein localization protein 4 homolog",0.0136343995850279,0.532154587238298
"1504","CMAS","N-acylneuraminate cytidylyltransferase",0.0133454848664094,0.562815782105812
"1505","TATDN3","Putative deoxyribonuclease TATDN3",0.0132886873972211,0.560578027554498
"1506","NEU3","Sialidase-3",0.0132446419461285,0.578725107257277
"1507","UBQLN4","Ubiquilin-4",0.0132418207534979,0.568498228034197
"1508","FAM185A","Protein FAM185A",0.0131242084648537,0.552384956438291
"1509","THOC2","THO complex subunit 2",0.0127990326497311,0.569674233740399
"1510","PSMB7","Proteasome subunit beta type-7",0.0127614332640622,0.559265452216103
"1511","GUF1","Translation factor GUF1, mitochondrial",0.0125765019970956,0.563204178748428
"1512","MPO","Myeloperoxidase",0.0124597064495795,0.588345366560983
"1513","LSS","Lanosterol synthase",0.0123914758037103,0.572744041541626
"1514","LIMCH1","LIM and calponin homology domains-containing protein 1",0.0123382381044426,0.542280469046994
"1515","RPS19","40S ribosomal protein S19",0.0123256308134501,0.565211064032368
"1516","MCTS1","Malignant T-cell-amplified sequence 1",0.0122386191713364,0.53159104426244
"1517","MTCH2","Mitochondrial carrier homolog 2",0.0122255659111072,0.554552840192693
"1518","CRADD","Death domain-containing protein CRADD",0.0120915546238027,0.555478214177388
"1519","GDI1","Rab GDP dissociation inhibitor alpha",0.012070028038476,0.53280191397513
"1520","FAH","Fumarylacetoacetase",0.0119968915700053,0.548102149848156
"1521","BAG2","BAG family molecular chaperone regulator 2",0.0119557945654343,0.54122959011061
"1522","COL6A6","Collagen alpha-6(VI) chain",0.0118495854884717,0.572744041541626
"1523","MAP2K4","Dual specificity mitogen-activated protein kinase kinase 4",0.0118216090489138,0.524910679761185
"1524","GNB2","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",0.0117004849482978,0.528655379165527
"1525","EIF3L","Eukaryotic translation initiation factor 3 subunit L",0.0116319816345616,0.533127147270597
"1526","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",0.0114113895907071,0.569674233740399
"1527","METAP1D","Methionine aminopeptidase 1D, mitochondrial",0.011355816371065,0.569674233740399
"1528","STRIP2","Striatin-interacting protein 2",0.0110554572567949,0.572744041541626
"1529","SERPINA1","Alpha-1-antitrypsin",0.0109872949379266,0.560645990409117
"1530","ALB","Albumin",0.0108870788631208,0.551625645085056
"1531","LRRFIP2","Leucine-rich repeat flightless-interacting protein 2",0.0106332207035482,0.574383510055969
"1532","SMTNL1","Smoothelin-like protein 1",0.0106103731823151,0.578677615591222
"1533","WDR26","WD repeat-containing protein 26",0.0105022047166266,0.574383510055969
"1534","TCP1","T-complex protein 1 subunit alpha",0.0102190855085755,0.530829089396889
"1535","RNPEP","Aminopeptidase B",0.010193440544759,0.563204178748428
"1536","KBTBD12","Kelch repeat and BTB domain-containing protein 12",0.0101498560644888,0.574383510055969
"1537","OGN","Mimecan",0.0100665201917991,0.576382756633551
"1538","SH3BGRL3","SH3 domain-binding glutamic acid-rich-like protein 3",0.00984394773430175,0.569674233740399
"1539","WBP2","WW domain-binding protein 2",0.00977087451230219,0.572744041541626
"1540","DHX9","ATP-dependent RNA helicase A",0.00974947979725549,0.544446539927801
"1541","COA3","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",0.00972295042231686,0.56562720108529
"1542","PITPNA","Phosphatidylinositol transfer protein alpha isoform",0.00954509661954361,0.554104491898964
"1543","VAMP2","Vesicle-associated membrane protein 2",0.00931400123971393,0.569674233740399
"1544","SFPQ","Splicing factor, proline- and glutamine-rich",0.00930591561947125,0.552766617900201
"1545","ERGIC1","Endoplasmic reticulum-Golgi intermediate compartment protein 1",0.00927412019785656,0.57318544222273
"1546","CCAR2","Cell cycle and apoptosis regulator protein 2",0.0089057543085751,0.572744041541626
"1547","FAM98B","Protein FAM98B",0.00875014827791709,0.568498228034197
"1548","RAN","GTP-binding nuclear protein Ran",0.00871097800402154,0.563204178748428
"1549","HSPBP1","Hsp70-binding protein 1",0.00869989866839305,0.56486566037861
"1550","CSNK2B","Casein kinase II subunit beta",0.00868030479473703,0.554441425808207
"1551","DLD","Dihydrolipoyl dehydrogenase, mitochondrial",0.0086069479737958,0.563311567976666
"1552","ARL8A","ADP-ribosylation factor-like protein 8A",0.00858494477301086,0.574383510055969
"1553","CNPY2","Protein canopy homolog 2",0.00831982020166322,0.570856855263725
"1554","UQCRFS1","Cytochrome b-c1 complex subunit Rieske, mitochondrial",0.00826478537871012,0.566311783772284
"1555","UFM1","Ubiquitin-fold modifier 1",0.00823118444309756,0.569292385571631
"1556","MPI","Mannose-6-phosphate isomerase",0.00798208857530014,0.552384956438291
"1557","FKBP3","Peptidyl-prolyl cis-trans isomerase FKBP3",0.0079494346795812,0.569292385571631
"1558","NLRX1","NLR family member X1",0.00783874246072536,0.569423249879256
"1559","RPL27A","60S ribosomal protein L27a",0.00774294758594074,0.574878467019042
"1560","IST1","IST1 homolog",0.0073985849442213,0.565595461082216
"1561","DLAT","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",0.00734900289570106,0.570243029410049
"1562","PLN","Cardiac phospholamban",0.00728280794242231,0.580175321330948
"1563","PSMB2","Proteasome subunit beta type-2",0.00722835488029716,0.563204178748428
"1564","EHD2","EH domain-containing protein 2",0.00691438068113648,0.573722358313525
"1565","RPL35","60S ribosomal protein L35",0.00680303399305338,0.579310253913686
"1566","FAM120A","Constitutive coactivator of PPAR-gamma-like protein 1",0.00680159083644227,0.569674233740399
"1567","DUSP29","Dual specificity phosphatase 29",0.00673755709859236,0.573851226473206
"1568","RAB5B","Ras-related protein Rab-5B",0.00648315110540132,0.561232506754192
"1569","SCLY","Selenocysteine lyase",0.00640852527573088,0.581194123756361
"1570","IGKV2-30","Immunoglobulin kappa variable 2-30",0.00625908297901567,0.581194123756361
"1571","NLN","Neurolysin, mitochondrial",0.00622954233721806,0.56363489911055
"1572","EIF3B","Eukaryotic translation initiation factor 3 subunit B",0.00610529175749264,0.565211064032368
"1573","GDI2","Rab GDP dissociation inhibitor beta",0.00605159516806175,0.560578027554498
"1574","ILK","Integrin-linked protein kinase",0.00599317753992601,0.567580522686351
"1575","PKM","Pyruvate kinase PKM",0.00589253355240515,0.578725107257277
"1576","CTSL","Procathepsin L",0.0057486279197434,0.579924797335315
"1577","RTN4IP1","Reticulon-4-interacting protein 1, mitochondrial",0.00530059022898044,0.575382933852542
"1578","GGA1","ADP-ribosylation factor-binding protein GGA1",0.00521635519245045,0.5820693221272
"1579","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial",0.00511966837960465,0.57641728628384
"1580","NDUFV2","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",0.00492972218897592,0.578453001762199
"1581","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial",0.00484741086538065,0.578725107257277
"1582","ADHFE1","Hydroxyacid-oxoacid transhydrogenase, mitochondrial",0.00478568596755835,0.5820693221272
"1583","NIBAN2","Protein Niban 2",0.00471944020958404,0.581194123756361
"1584","CARHSP1","Calcium-regulated heat-stable protein 1",0.00445501695617523,0.580142671076447
"1585","PSMA1","Proteasome subunit alpha type-1",0.00441936821012767,0.569674233740399
"1586","DDX19B","ATP-dependent RNA helicase DDX19B",0.00435978043972973,0.569674233740399
"1587","PACSIN2","Protein kinase C and casein kinase substrate in neurons protein 2",0.00417098539723959,0.573722358313525
"1588","DDX39B","Spliceosome RNA helicase DDX39B",0.00413461958155636,0.572744041541626
"1589","PCNP","PEST proteolytic signal-containing nuclear protein",0.00401541070821132,0.581194123756361
"1590","DNAH7","Dynein axonemal heavy chain 7",0.00401471777429485,0.591747808484227
"1591","PRMT1","Protein arginine N-methyltransferase 1",0.003941455116383,0.572744041541626
"1592","RASA3","Ras GTPase-activating protein 3",0.00394012581320879,0.581847996179702
"1593","BABAM1","BRISC and BRCA1-A complex member 1",0.0038994807614543,0.581779368519457
"1594","NXN","Nucleoredoxin",0.00379953753954609,0.574383510055969
"1595","STAT3","Signal transducer and activator of transcription 3",0.00362804405314776,0.585125664266835
"1596","DCAF7","DDB1- and CUL4-associated factor 7",0.00349140748457266,0.574383510055969
"1597","WASHC5","WASH complex subunit 5",0.00335462522328456,0.582276601716563
"1598","FKBP7","Peptidyl-prolyl cis-trans isomerase FKBP7",0.00312142617484312,0.582276601716563
"1599","CPSF7","Cleavage and polyadenylation specificity factor subunit 7",0.00309616193393225,0.585407889779723
"1600","PSMB4","Proteasome subunit beta type-4",0.00305650083146425,0.5785947291835
"1601","EIF3A","Eukaryotic translation initiation factor 3 subunit A",0.00302595876260803,0.578725107257277
"1602","UBXN1","UBX domain-containing protein 1",0.00301735844678319,0.581847996179702
"1603","CAND1","Cullin-associated NEDD8-dissociated protein 1",0.00293691504181304,0.578453001762199
"1604","PBXIP1","Pre-B-cell leukemia transcription factor-interacting protein 1",0.00291991437178751,0.584504794083697
"1605","MYL2","Myosin regulatory light chain 2, ventricular/cardiac muscle isoform",0.00271775179873046,0.591905886997164
"1606","RAB9A","Ras-related protein Rab-9A",0.00268038337582333,0.588345366560983
"1607","RAB2A","Ras-related protein Rab-2A",0.00266975581500084,0.578725107257277
"1608","CYB5B","Cytochrome b5 type B",0.00262954034304563,0.5820693221272
"1609","BCAM","Basal cell adhesion molecule",0.00243479492891296,0.581950895546098
"1610","ACACB","Acetyl-CoA carboxylase 2",0.00243058206112146,0.582046955851636
"1611","PTGR3","Prostaglandin reductase 3",0.00242788014681139,0.589059799355073
"1612","NUDT9","ADP-ribose pyrophosphatase, mitochondrial",0.0024277801579764,0.584504794083697
"1613","YKT6","Synaptobrevin homolog YKT6",0.00234371990815241,0.588701732269436
"1614","AGFG1","Arf-GAP domain and FG repeat-containing protein 1",0.00229923362095263,0.588345366560983
"1615","CUL1","Cullin-1",0.00218507859664996,0.581779368519457
"1616","PLCD4","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4",0.00210544324153261,0.580142671076447
"1617","VPS37C","Vacuolar protein sorting-associated protein 37C",0.00186863963396355,0.588452169991793
"1618","VASP","Vasodilator-stimulated phosphoprotein",0.00184063333983353,0.588590162988371
"1619","PAIP1","Polyadenylate-binding protein-interacting protein 1",0.00174531393039246,0.588701732269436
"1620","HNRNPU","Heterogeneous nuclear ribonucleoprotein U",0.00167593013809864,0.585039492104217
"1621","DHODH","Dihydroorotate dehydrogenase (quinone), mitochondrial",0.00163917692824178,0.590851034635748
"1622","SCO1","Protein SCO1 homolog, mitochondrial",0.0015915900261394,0.58777147601572
"1623","RWDD1","RWD domain-containing protein 1",0.00150717510174303,0.585407889779723
"1624","LNPK","Endoplasmic reticulum junction formation protein lunapark",0.00146526510580713,0.588038932903021
"1625","HDGF","Hepatoma-derived growth factor",0.00140854364069654,0.588701732269436
"1626","ADAL","Adenosine deaminase-like protein",0.00130925357988154,0.590267676812402
"1627","UQCR10","Cytochrome b-c1 complex subunit 9",0.0012795881741603,0.591241727633397
"1628","PET117","Protein PET117 homolog, mitochondrial",0.00124110790388521,0.590267676812402
"1629","ACADS","Short-chain specific acyl-CoA dehydrogenase, mitochondrial",0.00111439628351739,0.591747808484227
"1630","TSG101","Tumor susceptibility gene 101 protein",0.0010764339021776,0.590299164289548
"1631","NSF","Vesicle-fusing ATPase",0.00096480545943578,0.590267676812402
"1632","EIF5B","Eukaryotic translation initiation factor 5B",0.000902977057162246,0.591068975963758
"1633","PPIH","Peptidyl-prolyl cis-trans isomerase H",0.000813907912874612,0.590851034635748
"1634","TMX4","Thioredoxin-related transmembrane protein 4",0.000749869193759523,0.590755990614126
"1635","CSNK1A1","Casein kinase I isoform alpha",0.000529143606730287,0.591905886997164
"1636","CCT7","T-complex protein 1 subunit eta",0.000457609785120994,0.590746164564713
"1637","AP2A1","AP-2 complex subunit alpha-1",0.000453386538312728,0.591905886997164
"1638","PAFAH1B3","Platelet-activating factor acetylhydrolase IB subunit alpha1",0.000276622928677028,0.592075436154754
"1639","LPIN1","Phosphatidate phosphatase LPIN1",-0.00026562146430642,0.592084113732533
"1640","GPX4","Phospholipid hydroperoxide glutathione peroxidase",-0.000289517919201288,0.591905886997164
"1641","TXNRD2","Thioredoxin reductase 2, mitochondrial",-0.000296000722366685,0.592084113732533
"1642","HGS","Hepatocyte growth factor-regulated tyrosine kinase substrate",-0.000310013447140989,0.592084113732533
"1643","ACAD8","Isobutyryl-CoA dehydrogenase, mitochondrial",-0.000874002593544532,0.590267676812402
"1644","AHSG","Alpha-2-HS-glycoprotein",-0.00105016159245963,0.590746164564713
"1645","UBA1","Ubiquitin-like modifier-activating enzyme 1",-0.00106448023800354,0.587681969230329
"1646","OGDH","2-oxoglutarate dehydrogenase complex component E1",-0.00107158048504985,0.590267676812402
"1647","S100A9","Protein S100-A9",-0.00111580272088752,0.591905886997164
"1648","NGLY1","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase",-0.00145947609469488,0.589059799355073
"1649","MUL1","Mitochondrial ubiquitin ligase activator of NFKB 1",-0.00150243788008986,0.591068975963758
"1650","PITPNB","Phosphatidylinositol transfer protein beta isoform",-0.00164765183844118,0.588452169991793
"1651","MYBPC2","Myosin-binding protein C, fast-type",-0.00165996206573027,0.592310168478499
"1652","NAPA","Alpha-soluble NSF attachment protein",-0.0019948431435175,0.578453001762199
"1653","RPL10","60S ribosomal protein L10",-0.00220753985385791,0.585407889779723
"1654","PSMD4","26S proteasome non-ATPase regulatory subunit 4",-0.00235255013427604,0.58026599618474
"1655","CSE1L","Exportin-2",-0.0031324566348232,0.578725107257277
"1656","HSPA2","Heat shock-related 70 kDa protein 2",-0.00320414866574303,0.585125664266835
"1657","KIAA1671","Uncharacterized protein KIAA1671",-0.00320891127529244,0.585125664266835
"1658","THOP1","Thimet oligopeptidase",-0.00328114597727058,0.578725107257277
"1659","HNRNPR","Heterogeneous nuclear ribonucleoprotein R",-0.00328695704573256,0.583425288794643
"1660","PECAM1","Platelet endothelial cell adhesion molecule",-0.00332726203628297,0.588701732269436
"1661","COPE","Coatomer subunit epsilon",-0.00359510679288988,0.579618799245891
"1662","NDUFS2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",-0.00363977040453101,0.581194123756361
"1663","ECPAS","Proteasome adapter and scaffold protein ECM29",-0.00373839937183007,0.570961187294954
"1664","BCAT2","Branched-chain-amino-acid aminotransferase, mitochondrial",-0.00378497467302452,0.578453001762199
"1665","CHCHD7","Coiled-coil-helix-coiled-coil-helix domain-containing protein 7",-0.00382038368932314,0.588701732269436
"1666","IMMT","MICOS complex subunit MIC60",-0.00399028813894375,0.578725107257277
"1667","USP15","Ubiquitin carboxyl-terminal hydrolase 15",-0.00401725666099395,0.57318544222273
"1668","NDUFS3","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",-0.00403041924195691,0.581194123756361
"1669","PCMT1","Protein-L-isoaspartate(D-aspartate) O-methyltransferase",-0.0042240555493791,0.576983268195236
"1670","CMYA5","Cardiomyopathy-associated protein 5",-0.00422855564522351,0.57318544222273
"1671","KIFBP","KIF-binding protein",-0.00428353323266606,0.583425288794643
"1672","NUP54","Nucleoporin p54",-0.00436607406258815,0.578189974656082
"1673","MATR3","Matrin-3",-0.00437340511996887,0.578189974656082
"1674","CYCS","Cytochrome c",-0.0045006976939721,0.582046955851636
"1675","ATP6V1A","V-type proton ATPase catalytic subunit A",-0.00453239346960466,0.569674233740399
"1676","NNT","NAD(P) transhydrogenase, mitochondrial",-0.00461581692426449,0.581194123756361
"1677","TPPP","Tubulin polymerization-promoting protein",-0.00470176018614232,0.578725107257277
"1678","HMBS","Porphobilinogen deaminase",-0.0048276131363707,0.578725107257277
"1679","PRKAR2A","cAMP-dependent protein kinase type II-alpha regulatory subunit",-0.00485074416608278,0.574263272191363
"1680","HMGB1","High mobility group protein B1",-0.00514643372775758,0.576784886509313
"1681","NUCB2","Nucleobindin-2",-0.00516942378968466,0.585039492104217
"1682","AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1",-0.00523486109200277,0.573722358313525
"1683","SPCS2","Signal peptidase complex subunit 2",-0.00558742600242468,0.576784886509313
"1684","COPS6","COP9 signalosome complex subunit 6",-0.00560990018283469,0.569292385571631
"1685","IAH1","Isoamyl acetate-hydrolyzing esterase 1 homolog",-0.00565214174043405,0.574383510055969
"1686","CUL3","Cullin-3",-0.00569533628872598,0.560645990409117
"1687","COQ7","5-demethoxyubiquinone hydroxylase, mitochondrial",-0.00571458542000514,0.574383510055969
"1688","APEH","Acylamino-acid-releasing enzyme",-0.00577707865238786,0.554441425808207
"1689","RPL38","60S ribosomal protein L38",-0.00579405590436011,0.576784886509313
"1690","YARS2","Tyrosine--tRNA ligase, mitochondrial",-0.00585380677373593,0.578725107257277
"1691","KIAA1191","Putative monooxygenase p33MONOX",-0.00595552480998762,0.585125664266835
"1692","EIF2S1","Eukaryotic translation initiation factor 2 subunit 1",-0.00600422212827745,0.565211064032368
"1693","ARHGDIA","Rho GDP-dissociation inhibitor 1",-0.00606017537597836,0.562208522324652
"1694","UBR4","E3 ubiquitin-protein ligase UBR4",-0.00617641659438561,0.573722358313525
"1695","ASAH1","Acid ceramidase",-0.00629814226344472,0.573722358313525
"1696","DAZAP1","DAZ-associated protein 1",-0.00651590148796721,0.56898346737963
"1697","GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",-0.00652399014698446,0.569674233740399
"1698","NDUFAF6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",-0.00667452601196317,0.572072698153307
"1699","ECHDC3","Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",-0.00667706631670661,0.579618799245891
"1700","PRKG1","cGMP-dependent protein kinase 1",-0.00671711869473768,0.561257154139536
"1701","PANK4","4'-phosphopantetheine phosphatase",-0.00683185536233033,0.561232506754192
"1702","CLINT1","Clathrin interactor 1",-0.00687424229006339,0.569267497462232
"1703","EIF5A","Eukaryotic translation initiation factor 5A-1",-0.00697560673906317,0.560578027554498
"1704","PDLIM5","PDZ and LIM domain protein 5",-0.00699421187556837,0.570161833126617
"1705","CSTB","Cystatin-B",-0.00701411722407386,0.56486566037861
"1706","CDNF","Cerebral dopamine neurotrophic factor",-0.00702024923620925,0.572744041541626
"1707","GCN1","eIF-2-alpha kinase activator GCN1",-0.00712472806592679,0.569674233740399
"1708","DNAJC11","DnaJ homolog subfamily C member 11",-0.00753075557203431,0.574625458821656
"1709","TATDN1","Deoxyribonuclease TATDN1",-0.00773523721573532,0.554441425808207
"1710","EPDR1","Mammalian ependymin-related protein 1",-0.0078126881108318,0.565595461082216
"1711","PDK4","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial",-0.00782462786634497,0.583507290168797
"1712","NAP1L4","Nucleosome assembly protein 1-like 4",-0.00783592102960462,0.563204178748428
"1713","HLA-B","HLA class I histocompatibility antigen, B alpha chain",-0.00826873842106757,0.573851226473206
"1714","CSMD3","CUB and sushi domain-containing protein 3",-0.00826919507654544,0.579310253913686
"1715","PCMTD1","Protein-L-isoaspartate O-methyltransferase domain-containing protein 1",-0.00835964150406987,0.576661512044907
"1716","MRPL40","39S ribosomal protein L40, mitochondrial",-0.0086476686264465,0.573722358313525
"1717","MYOZ3","Myozenin-3",-0.00867981960457698,0.56562720108529
"1718","PSMD3","26S proteasome non-ATPase regulatory subunit 3",-0.0087512211603098,0.542280469046994
"1719","PLBD2","Putative phospholipase B-like 2",-0.00905808123384055,0.574383510055969
"1720","AK1","Adenylate kinase isoenzyme 1",-0.0090834970513427,0.579310253913686
"1721","JSRP1","Junctional sarcoplasmic reticulum protein 1",-0.00922849491565003,0.57318544222273
"1722","SCP2","Sterol carrier protein 2",-0.00925205553953923,0.558831570482289
"1723","GSPT2","Eukaryotic peptide chain release factor GTP-binding subunit ERF3B",-0.00942146279039591,0.573851226473206
"1724","CUL4A","Cullin-4A",-0.00944234121974397,0.55181126964092
"1725","TMEM223","Transmembrane protein 223",-0.00944767555198922,0.564425591426556
"1726","METAP2","Methionine aminopeptidase 2",-0.00970611899899865,0.551625645085056
"1727","HINT2","Adenosine 5'-monophosphoramidase HINT2",-0.00987611490970153,0.558979694116632
"1728","XRCC6","X-ray repair cross-complementing protein 6",-0.00993997623729115,0.532467757480209
"1729","TTLL12","Tubulin--tyrosine ligase-like protein 12",-0.0101158668991257,0.554552840192693
"1730","JPT2","Jupiter microtubule associated homolog 2",-0.0101769484564294,0.568590097671023
"1731","STX12","Syntaxin-12",-0.0101926546933626,0.575382933852542
"1732","MRI1","Methylthioribose-1-phosphate isomerase",-0.0103684534388115,0.565211064032368
"1733","NCL","Nucleolin",-0.0103776046062052,0.554552840192693
"1734","CA3","Carbonic anhydrase 3",-0.0104180115067187,0.562617843357615
"1735","PIP","Prolactin-inducible protein",-0.0104462992668211,0.582430935097045
"1736","MRPL39","39S ribosomal protein L39, mitochondrial",-0.0108437666320391,0.552281329003881
"1737","LUC7L2","Putative RNA-binding protein Luc7-like 2",-0.0108983042566209,0.573722358313525
"1738","MAN2C1","Alpha-mannosidase 2C1",-0.0109939013648503,0.546631239424353
"1739","ACE","Angiotensin-converting enzyme",-0.0110156894644735,0.562625335947827
"1740","RPS2","40S ribosomal protein S2",-0.0113438549565004,0.544928312732158
"1741","PRUNE1","Exopolyphosphatase PRUNE1",-0.0114801735611714,0.543558153198191
"1742","IFITM3","Interferon-induced transmembrane protein 3",-0.0116266098107651,0.569423249879256
"1743","BCCIP","BRCA2 and CDKN1A-interacting protein",-0.0117210191075916,0.560645990409117
"1744","RPL26L1","60S ribosomal protein L26-like 1",-0.0117896529623938,0.569423249879256
"1745","MAIP1","m-AAA protease-interacting protein 1, mitochondrial",-0.012076734670579,0.54961870046853
"1746","RPL8","60S ribosomal protein L8",-0.0121204958221188,0.559406883578116
"1747","MAPRE3","Microtubule-associated protein RP/EB family member 3",-0.0121204974090681,0.561759483040189
"1748","GSPT1","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A",-0.0123224815210676,0.519826096037453
"1749","NAXE","NAD(P)H-hydrate epimerase",-0.012430240888273,0.52657649641507
"1750","RPL23","60S ribosomal protein L23",-0.0125843208452423,0.564618802630062
"1751","TBC1D15","TBC1 domain family member 15",-0.0126937824075508,0.542280469046994
"1752","PSMB1","Proteasome subunit beta type-1",-0.0127818637612087,0.527097966589207
"1753","PPP1R14C","Protein phosphatase 1 regulatory subunit 14C",-0.0130045107608581,0.574878467019042
"1754","CENPV","Centromere protein V",-0.0130988484141028,0.561495150792651
"1755","UBE3A","Ubiquitin-protein ligase E3A",-0.0131870597489581,0.523808079240512
"1756","PDLIM2","PDZ and LIM domain protein 2",-0.0132127498645378,0.574383510055969
"1757","SNU13","NHP2-like protein 1",-0.0134703465462689,0.557558645159397
"1758","SCRN3","Secernin-3",-0.013499871348861,0.527594550078572
"1759","TLN1","Talin-1",-0.0135018308406316,0.520233093435402
"1760","SLC37A4","Glucose-6-phosphate exchanger SLC37A4",-0.0136092943426611,0.568590097671023
"1761","ZYG11B","Protein zyg-11 homolog B",-0.0139215948373597,0.561232506754192
"1762","QKI","KH domain-containing RNA-binding protein QKI",-0.0139731820978799,0.553097071767589
"1763","POLR2I","DNA-directed RNA polymerase II subunit RPB9",-0.01398464618525,0.572744041541626
"1764","PBDC1","Protein PBDC1",-0.0140926349896908,0.530829089396889
"1765","USP24","Ubiquitin carboxyl-terminal hydrolase 24",-0.0141074797966834,0.552281329003881
"1766","ARPC2","Actin-related protein 2/3 complex subunit 2",-0.0141539833824247,0.527097966589207
"1767","ABHD10","Palmitoyl-protein thioesterase ABHD10, mitochondrial",-0.0141883034346062,0.551625645085056
"1768","PSMD2","26S proteasome non-ATPase regulatory subunit 2",-0.0142171396929633,0.490738083870766
"1769","APOE","Apolipoprotein E",-0.0143772676151332,0.538111945657276
"1770","RAP1B","Ras-related protein Rap-1b",-0.0146033853342935,0.560578027554498
"1771","PMVK","Phosphomevalonate kinase",-0.014734363958075,0.546631239424353
"1772","SERBP1","Plasminogen activator inhibitor 1 RNA-binding protein",-0.0147616075757675,0.552281329003881
"1773","RBX1","E3 ubiquitin-protein ligase RBX1",-0.0148499287726427,0.551625645085056
"1774","USP7","Ubiquitin carboxyl-terminal hydrolase 7",-0.0149814378629411,0.527637404119616
"1775","ANXA11","Annexin A11",-0.0149914417618753,0.496854506180965
"1776","TMLHE","Trimethyllysine dioxygenase, mitochondrial",-0.0151374825975896,0.561232506754192
"1777","NSFL1C","NSFL1 cofactor p47",-0.0152628704930979,0.480896926123193
"1778","DTNA","Dystrobrevin alpha",-0.0152890053047869,0.502714441852501
"1779","NDUFB7","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7",-0.0153264205749988,0.560645990409117
"1780","LAMTOR5","Ragulator complex protein LAMTOR5",-0.0153327667325271,0.538113908947323
"1781","FNBP1L","Formin-binding protein 1-like",-0.0155132204055093,0.563560466841763
"1782","BTF3","Transcription factor BTF3",-0.0156725709897678,0.56486566037861
"1783","BPNT1","3'(2'),5'-bisphosphate nucleotidase 1",-0.0156908196410352,0.538111945657276
"1784","SNAP23","Synaptosomal-associated protein 23",-0.0160133038095598,0.543911509420757
"1785","PSMC2","26S proteasome regulatory subunit 7",-0.0161361235917745,0.449583131734711
"1786","OXCT1","Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",-0.0162446098690907,0.569423249879256
"1787","GPI","Glucose-6-phosphate isomerase",-0.016361204522255,0.554552840192693
"1788","UFSP2","Ufm1-specific protease 2",-0.0163972655564368,0.578725107257277
"1789","PGAM1","Phosphoglycerate mutase 1",-0.0164683090476743,0.511297644889508
"1790","CPPED1","Serine/threonine-protein phosphatase CPPED1",-0.0164835395937448,0.547887718123764
"1791","RPRD1B","Regulation of nuclear pre-mRNA domain-containing protein 1B",-0.0165800754287702,0.531375974022337
"1792","CARS2","Probable cysteine--tRNA ligase, mitochondrial",-0.0166396867060872,0.543911509420757
"1793","ENO2","Gamma-enolase",-0.0166998591601093,0.562304516662944
"1794","AARSD1","Alanyl-tRNA editing protein Aarsd1",-0.0167714866246627,0.521020868967286
"1795","ERN1","Serine/threonine-protein kinase/endoribonuclease IRE1",-0.0168274149117735,0.555402221506363
"1796","KSR2","Kinase suppressor of Ras 2",-0.0169002792476292,0.558445809161485
"1797","PSMA5","Proteasome subunit alpha type-5",-0.0169088881080022,0.436945372214181
"1798","CZIB","CXXC motif containing zinc binding protein",-0.0169822777511452,0.528414147722127
"1799","GYG1","Glycogenin-1",-0.0170576377860847,0.511262640821869
"1800","RPS6KA3","Ribosomal protein S6 kinase alpha-3",-0.0170737294526866,0.44781850061993
"1801","NDUFC2","NADH dehydrogenase [ubiquinone] 1 subunit C2",-0.0170747466707741,0.550367700191585
"1802","PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1",-0.0171216891996409,0.522927747097032
"1803","PSMD6","26S proteasome non-ATPase regulatory subunit 6",-0.0171397671646414,0.478731251275779
