"","Gene_name","Description","log2FC_male-female","q-value","fiber_type"
"3378","PPP3R1","Calcineurin subunit B type 1",0.259529170181803,0.202752413040538,"type_2"
"3379","PPP1R14B","Protein phosphatase 1 regulatory subunit 14B",0.258857866452406,0.345267992506565,"type_2"
"3380","GRHPR","Glyoxylate reductase/hydroxypyruvate reductase",0.257893329914669,0.0517681599750532,"type_2"
"3381","IPO9","Importin-9",0.257743103413674,0.472559915211821,"type_2"
"3382","RANBP1","Ran-specific GTPase-activating protein",0.25760114313845,0.125843449317724,"type_2"
"3383","REEP5","Receptor expression-enhancing protein 5",0.257569369752227,0.190507584323272,"type_2"
"3384","UCHL3","Ubiquitin carboxyl-terminal hydrolase isozyme L3",0.257102778453689,0.129258278642528,"type_2"
"3385","HNRNPR","Heterogeneous nuclear ribonucleoprotein R",0.257087543043134,0.238332987850696,"type_2"
"3386","PTGR3","Prostaglandin reductase 3",0.256281474064048,0.424796806596485,"type_2"
"3387","EEF1D","Elongation factor 1-delta",0.256038276608539,0.0575276421945553,"type_2"
"3388","DCTN4","Dynactin subunit 4",0.255802129546641,0.21487815356883,"type_2"
"3389","ILVBL","2-hydroxyacyl-CoA lyase 2",0.254960256167749,0.184268464370984,"type_2"
"3390","IDH2","Isocitrate dehydrogenase [NADP], mitochondrial",0.25483526908646,0.164431432068919,"type_2"
"3391","LGALS1","Galectin-1",0.254564017266858,0.280012267216463,"type_2"
"3392","NDUFS6","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",0.2537260364783,0.270075392406663,"type_2"
"3393","MME","Neprilysin",0.253293051550395,0.169164882836904,"type_2"
"3394","ACOT2","Acyl-coenzyme A thioesterase 2, mitochondrial",0.25289515437025,0.188981686243601,"type_2"
"3395","CSPG4","Chondroitin sulfate proteoglycan 4",0.252196943528689,0.326768877759309,"type_2"
"3396","PPP1R3D","Protein phosphatase 1 regulatory subunit 3D",0.251903784154884,0.357888161855684,"type_2"
"3397","PFN1","Profilin-1",0.251857404772419,0.166452112058566,"type_2"
"3398","POFUT1","GDP-fucose protein O-fucosyltransferase 1",0.251395269932388,0.183496559476144,"type_2"
"3399","TFAM","Transcription factor A, mitochondrial",0.250581585475777,0.134572133589577,"type_2"
"3400","KIAA1217","Sickle tail protein homolog",0.250351999795889,0.326768877759309,"type_2"
"3401","NAP1L1","Nucleosome assembly protein 1-like 1",0.249668147917552,0.216054790424509,"type_2"
"3402","YKT6","Synaptobrevin homolog YKT6",0.249574693764311,0.357888161855684,"type_2"
"3403","MRPL30","39S ribosomal protein L30, mitochondrial",0.249527952131375,0.429155276432919,"type_2"
"3404","ACAA1","3-ketoacyl-CoA thiolase, peroxisomal",0.249451314037646,0.0695668295646321,"type_2"
"3405","CZIB","CXXC motif containing zinc binding protein",0.248983187330563,0.0949219606969413,"type_2"
"3406","EIF3F","Eukaryotic translation initiation factor 3 subunit F",0.247850673886242,0.119316621948964,"type_2"
"3407","HNRNPA1","Heterogeneous nuclear ribonucleoprotein A1",0.247708375432929,0.107237845893431,"type_2"
"3408","NUDT16","U8 snoRNA-decapping enzyme",0.24738441066259,0.291649464266888,"type_2"
"3409","MT-ATP8","ATP synthase protein 8",0.246986684152997,0.158274815276505,"type_2"
"3410","MPC2","Mitochondrial pyruvate carrier 2",0.246955939022255,0.323909931799954,"type_2"
"3411","RBM38","RNA-binding protein 38",0.246911706177926,0.210017478196358,"type_2"
"3412","MRPS23","28S ribosomal protein S23, mitochondrial",0.246153845768912,0.214002985057985,"type_2"
"3413","MAPRE1","Microtubule-associated protein RP/EB family member 1",0.246030342633423,0.121001423176875,"type_2"
"3414","PPIL1","Peptidyl-prolyl cis-trans isomerase-like 1",0.245854982938347,0.153360024741736,"type_2"
"3415","COA5","Cytochrome c oxidase assembly factor 5",0.245844499899093,0.388760011599599,"type_2"
"3416","COA6","Cytochrome c oxidase assembly factor 6 homolog",0.2457895821757,0.114272736956395,"type_2"
"3417","UQCRH","Cytochrome b-c1 complex subunit 6, mitochondrial",0.245726471073766,0.122130324473595,"type_2"
"3418","ME1","NADP-dependent malic enzyme",0.245645989807157,0.11513023887391,"type_2"
"3419","UBL5","Ubiquitin-like protein 5",0.245616109796623,0.247139297419326,"type_2"
"3420","TUBB2A","Tubulin beta-2A chain",0.245460856324819,0.236090064952948,"type_2"
"3421","PRDX5","Peroxiredoxin-5, mitochondrial",0.245264347018921,0.189318569959335,"type_2"
"3422","SSB","Lupus La protein",0.244652588036033,0.0877507203839899,"type_2"
"3423","MRPL46","39S ribosomal protein L46, mitochondrial",0.244448513824882,0.20718940914661,"type_2"
"3424","IMPA1","Inositol monophosphatase 1",0.243500202489347,0.0603180956227061,"type_2"
"3425","VPS29","Vacuolar protein sorting-associated protein 29",0.243316233489381,0.177565438871339,"type_2"
"3426","MRPL48","39S ribosomal protein L48, mitochondrial",0.243132236943053,0.293330605483475,"type_2"
"3427","CIRBP","Cold-inducible RNA-binding protein",0.242751213138069,0.156886908826623,"type_2"
"3428","HIKESHI","Protein Hikeshi",0.241523701324381,0.0953699513443331,"type_2"
"3429","USP48","Ubiquitin carboxyl-terminal hydrolase 48",0.240618233762094,0.43531316730269,"type_2"
"3430","EIF3A","Eukaryotic translation initiation factor 3 subunit A",0.240533912749642,0.10074126198617,"type_2"
"3431","ZC3H8","Zinc finger CCCH domain-containing protein 8",0.240517051771025,0.194801559189266,"type_2"
"3432","MYL6B","Myosin light chain 6B",0.240350906014417,0.41978655256244,"type_2"
"3433","CYGB","Cytoglobin",0.240017097746437,0.27439922896966,"type_2"
"3434","GCC2","GRIP and coiled-coil domain-containing protein 2",0.239976065926005,0.513766204039413,"type_2"
"3435","KLHL40","Kelch-like protein 40",0.23994186678091,0.322428626607724,"type_2"
"3436","PGAM2","Phosphoglycerate mutase 2",0.239422028603816,0.0641652365814366,"type_2"
"3437","BPNT1","3'(2'),5'-bisphosphate nucleotidase 1",0.23921851463172,0.103088107177457,"type_2"
"3438","USO1","General vesicular transport factor p115",0.239184407394879,0.0464820291636969,"type_2"
"3439","FBP2","Fructose-1,6-bisphosphatase isozyme 2",0.238961104238417,0.224849712156324,"type_2"
"3440","TST","Thiosulfate sulfurtransferase",0.23840823427965,0.234510797417084,"type_2"
"3441","WDR43","WD repeat-containing protein 43",0.23823844384459,0.326768877759309,"type_2"
"3442","PCNP","PEST proteolytic signal-containing nuclear protein",0.237957761903081,0.323325967727006,"type_2"
"3443","SLC37A4","Glucose-6-phosphate exchanger SLC37A4",0.237712941551157,0.342896557929253,"type_2"
"3444","MRPS28","28S ribosomal protein S28, mitochondrial",0.237228960647279,0.326768877759309,"type_2"
"3445","PTPN23","Tyrosine-protein phosphatase non-receptor type 23",0.237060923472749,0.20718940914661,"type_2"
"3446","NUDT9","ADP-ribose pyrophosphatase, mitochondrial",0.236559051451104,0.0980408163734474,"type_2"
"3447","CNN1","Calponin-1",0.236480863926065,0.405942846182884,"type_2"
"3448","HOOK3","Protein Hook homolog 3",0.2361037781283,0.293330605483475,"type_2"
"3449","RPL23","60S ribosomal protein L23",0.236076387796837,0.242946949421418,"type_2"
"3450","RPLP2","60S acidic ribosomal protein P2",0.235762021831329,0.0703464169936269,"type_2"
"3451","TIMM10","Mitochondrial import inner membrane translocase subunit Tim10",0.235598487459576,0.255083285537427,"type_2"
"3452","LTN1","E3 ubiquitin-protein ligase listerin",0.235447019377901,0.382720227680473,"type_2"
"3453","RPN2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",0.235291044553184,0.191237146694497,"type_2"
"3454","PTGR1","Prostaglandin reductase 1",0.235243435411043,0.203261449824462,"type_2"
"3455","MLF2","Myeloid leukemia factor 2",0.23518117596916,0.464588657108138,"type_2"
"3456","ERP44","Endoplasmic reticulum resident protein 44",0.234448113050494,0.0985022633511145,"type_2"
"3457","NDUFV3","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",0.23297129074666,0.357888161855684,"type_2"
"3458","LSM14B","Protein LSM14 homolog B",0.232598364377848,0.238332987850696,"type_2"
"3459","COX6B1","Cytochrome c oxidase subunit 6B1",0.231098346904513,0.150193385570928,"type_2"
"3460","CNIH4","Protein cornichon homolog 4",0.230803981983938,0.40872045057131,"type_2"
"3461","NDUFS7","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",0.230371871428835,0.309726298203496,"type_2"
"3462","TNNI2","Troponin I, fast skeletal muscle",0.230370375812075,0.128115554019044,"type_2"
"3463","MMAA","Methylmalonic aciduria type A protein, mitochondrial",0.230150046371456,0.326768877759309,"type_2"
"3464","FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A",0.229610303947348,0.154897362084188,"type_2"
"3465","VPS37C","Vacuolar protein sorting-associated protein 37C",0.22953533161469,0.309726298203496,"type_2"
"3466","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial",0.229317486195679,0.455738432085427,"type_2"
"3467","SPRYD4","SPRY domain-containing protein 4",0.229053255470435,0.364255361531043,"type_2"
"3468","EIF3L","Eukaryotic translation initiation factor 3 subunit L",0.228362869611006,0.122130324473595,"type_2"
"3469","UGDH","UDP-glucose 6-dehydrogenase",0.228288255182502,0.26067062020031,"type_2"
"3470","ENG","Endoglin",0.227931811032922,0.463595763126868,"type_2"
"3471","RPS3A","40S ribosomal protein S3a",0.227100565676665,0.233952412186292,"type_2"
"3472","TBCC","Tubulin-specific chaperone C",0.226730190007515,0.0848526325194882,"type_2"
"3473","IST1","IST1 homolog",0.225779422083674,0.132944984212315,"type_2"
"3474","CUL2","Cullin-2",0.225370133234129,0.0765893469057151,"type_2"
"3475","MAVS","Mitochondrial antiviral-signaling protein",0.22493008331063,0.132102042704914,"type_2"
"3476","HSPE1","10 kDa heat shock protein, mitochondrial",0.224698622736563,0.260962524731776,"type_2"
"3477","MYG1","MYG1 exonuclease",0.22437215327543,0.1332227974838,"type_2"
"3478","MYOZ3","Myozenin-3",0.224335818974421,0.121314014913663,"type_2"
"3479","RAC1","Ras-related C3 botulinum toxin substrate 1",0.224134145956677,0.0736517827421163,"type_2"
"3480","SERBP1","Plasminogen activator inhibitor 1 RNA-binding protein",0.224060671661119,0.21487815356883,"type_2"
"3481","RAB10","Ras-related protein Rab-10",0.224029151484137,0.052581396583433,"type_2"
"3482","NUCB1","Nucleobindin-1",0.223785644287695,0.166452112058566,"type_2"
"3483","RABGAP1","Rab GTPase-activating protein 1",0.223473024717368,0.392683227339353,"type_2"
"3484","GSR","Glutathione reductase, mitochondrial",0.223068452975069,0.0517681599750532,"type_2"
"3485","SUCLG2","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",0.222724443744321,0.345580705044307,"type_2"
"3486","LTBP4","Latent-transforming growth factor beta-binding protein 4",0.222630083404184,0.374508134376127,"type_2"
"3487","EIF3J","Eukaryotic translation initiation factor 3 subunit J",0.222502445067448,0.0723802656699047,"type_2"
"3488","DNM2","Dynamin-2",0.222392592383716,0.0432473815823005,"type_2"
"3489","PKM","Pyruvate kinase PKM",0.222356030505374,0.171090484251024,"type_2"
"3490","RGN","Regucalcin",0.222261735305679,0.345701682972088,"type_2"
"3491","PPP1R7","Protein phosphatase 1 regulatory subunit 7",0.222202695022139,0.06068659226057,"type_2"
"3492","RPA1","Replication protein A 70 kDa DNA-binding subunit",0.222000525364665,0.117617937802753,"type_2"
"3493","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial",0.221954748726439,0.149538893100461,"type_2"
"3494","HMOX1","Heme oxygenase 1",0.221947486335221,0.365298367999885,"type_2"
"3495","LANCL2","LanC-like protein 2",0.221274902243671,0.0950847408772685,"type_2"
"3496","TPT1","Translationally-controlled tumor protein",0.221112460257734,0.121314014913663,"type_2"
"3497","TIMM8B","Mitochondrial import inner membrane translocase subunit Tim8 B",0.220899267023384,0.376782763761782,"type_2"
"3498","SNX21","Sorting nexin-21",0.220716803234376,0.365639645128826,"type_2"
"3499","NDUFB11","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",0.219710168051481,0.238332987850696,"type_2"
"3500","DYNLT3","Dynein light chain Tctex-type 3",0.219608938172671,0.323117453468858,"type_2"
"3501","AIFM1","Apoptosis-inducing factor 1, mitochondrial",0.219456158856614,0.191237146694497,"type_2"
"3502","SF3B2","Splicing factor 3B subunit 2",0.217844173602922,0.281464089446386,"type_2"
"3503","MRPS5","28S ribosomal protein S5, mitochondrial",0.217805964203601,0.426012429843717,"type_2"
"3504","ADD1","Alpha-adducin",0.217740469082599,0.349347621636836,"type_2"
"3505","COQ5","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",0.217384384574432,0.197961368532911,"type_2"
"3506","NDUFB8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",0.217333860162082,0.234510797417084,"type_2"
"3507","PFKL","ATP-dependent 6-phosphofructokinase, liver type",0.217212582661475,0.278531439798217,"type_2"
"3508","STRIP2","Striatin-interacting protein 2",0.216932474170834,0.323909931799954,"type_2"
"3509","UQCRB","Cytochrome b-c1 complex subunit 7",0.216905879095105,0.235224990304758,"type_2"
"3510","KLHL41","Kelch-like protein 41",0.215815847738806,0.163560567750454,"type_2"
"3511","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.215670357956011,0.308018714906189,"type_2"
"3512","SLC16A3","Monocarboxylate transporter 4",0.21492537307882,0.292479840383132,"type_2"
"3513","ABCF2","ATP-binding cassette sub-family F member 2",0.214753011695068,0.376169953627363,"type_2"
"3514","ETF1","Eukaryotic peptide chain release factor subunit 1",0.214417619871071,0.417339722248645,"type_2"
"3515","HSPA9","Stress-70 protein, mitochondrial",0.214411431073415,0.114272736956395,"type_2"
"3516","DUSP3","Dual specificity protein phosphatase 3",0.213499130063898,0.0817889302926797,"type_2"
"3517","LYRM4","LYR motif-containing protein 4",0.21345771002337,0.302342859193906,"type_2"
"3518","NDUFA10","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",0.213450474671053,0.202752413040538,"type_2"
"3519","RNF170","E3 ubiquitin-protein ligase RNF170",0.213155480541431,0.478151463054504,"type_2"
"3520","PGPEP1","Pyroglutamyl-peptidase 1",0.212896134149767,0.414684984135012,"type_2"
"3521","NGLY1","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase",0.212693887187836,0.276677152848885,"type_2"
"3522","RAB6A","Ras-related protein Rab-6A",0.212660014438416,0.293330605483475,"type_2"
"3523","FKBP1A","Peptidyl-prolyl cis-trans isomerase FKBP1A",0.212448161576759,0.216054790424509,"type_2"
"3524","SYNPO","Synaptopodin",0.211791989656648,0.122130324473595,"type_2"
"3525","HSBP1","Heat shock factor-binding protein 1",0.211259897496481,0.379309435006332,"type_2"
"3526","C19orf12","Protein C19orf12",0.211201817040681,0.305864661084302,"type_2"
"3527","RWDD1","RWD domain-containing protein 1",0.211078459920181,0.134572133589577,"type_2"
"3528","MAP2K4","Dual specificity mitogen-activated protein kinase kinase 4",0.210850083688362,0.0949219606969413,"type_2"
"3529","NARS1","Asparagine--tRNA ligase, cytoplasmic",0.21075041521134,0.0892645943630833,"type_2"
"3530","EHD2","EH domain-containing protein 2",0.210427688960474,0.171090484251024,"type_2"
"3531","TBC1D17","TBC1 domain family member 17",0.210413566373704,0.111077104332929,"type_2"
"3532","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2",0.210202713655459,0.182139820341462,"type_2"
"3533","SNX3","Sorting nexin-3",0.210053869178699,0.170769160447269,"type_2"
"3534","TRIP10","Cdc42-interacting protein 4",0.209645701952754,0.131014162455512,"type_2"
"3535","NT5C3A","Cytosolic 5'-nucleotidase 3A",0.209560934746793,0.100497925658752,"type_2"
"3536","CARS1","Cysteine--tRNA ligase, cytoplasmic",0.208674858032341,0.311894512057371,"type_2"
"3537","ACTR1B","Beta-centractin",0.208453525474253,0.395597368217408,"type_2"
"3538","TRIM54","Tripartite motif-containing protein 54",0.208420925174845,0.20718940914661,"type_2"
"3539","NEDD4","E3 ubiquitin-protein ligase NEDD4",0.208376911599981,0.358061037736968,"type_2"
"3540","SUGP2","SURP and G-patch domain-containing protein 2",0.208295560490537,0.380641604313252,"type_2"
"3541","CASQ1","Calsequestrin-1",0.208224097297158,0.107237845893431,"type_2"
"3542","TYMP","Thymidine phosphorylase",0.207986063364867,0.404593729821057,"type_2"
"3543","PET117","Protein PET117 homolog, mitochondrial",0.207652399824493,0.38274467928617,"type_2"
"3544","MYBPH","Myosin-binding protein H",0.207018092389747,0.543412360016328,"type_2"
"3545","NASP","Nuclear autoantigenic sperm protein",0.206955100095419,0.380641604313252,"type_2"
"3546","GOT1","Aspartate aminotransferase, cytoplasmic",0.206910570497541,0.234234577701402,"type_2"
"3547","EMC1","ER membrane protein complex subunit 1",0.206801414703813,0.353699138819648,"type_2"
"3548","ARL6IP5","PRA1 family protein 3",0.206707042488338,0.138661950438642,"type_2"
"3549","UQCC3","Ubiquinol-cytochrome-c reductase complex assembly factor 3",0.206443287639521,0.439348919042193,"type_2"
"3550","TIMM50","Mitochondrial import inner membrane translocase subunit TIM50",0.206402743276387,0.108513541821898,"type_2"
"3551","USP5","Ubiquitin carboxyl-terminal hydrolase 5",0.206246840079819,0.0833773226760869,"type_2"
"3552","HRAS","GTPase HRas",0.206161077407039,0.317481189873836,"type_2"
"3553","COQ3","Ubiquinone biosynthesis O-methyltransferase, mitochondrial",0.20592768439041,0.234510797417084,"type_2"
"3554","YAP1","Transcriptional coactivator YAP1",0.205871242262946,0.393626309756156,"type_2"
"3555","ANKRD2","Ankyrin repeat domain-containing protein 2",0.205830341789849,0.45057178212228,"type_2"
"3556","TIGAR","Fructose-2,6-bisphosphatase TIGAR",0.205700072184944,0.357888161855684,"type_2"
"3557","CALR","Calreticulin",0.205540409293564,0.135750156194073,"type_2"
"3558","SNX12","Sorting nexin-12",0.205423325453889,0.223101476254398,"type_2"
"3559","CHCHD3","MICOS complex subunit MIC19",0.205279021314951,0.123171191030008,"type_2"
"3560","HIBCH","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",0.204884782157087,0.364224348292871,"type_2"
"3561","UBE2G2","Ubiquitin-conjugating enzyme E2 G2",0.20465107482336,0.294344364314918,"type_2"
"3562","SNRPD3","Small nuclear ribonucleoprotein Sm D3",0.204352274746212,0.134572133589577,"type_2"
"3563","EIF5A","Eukaryotic translation initiation factor 5A-1",0.204108894587478,0.0855427115734119,"type_2"
"3564","ATP5F1A","ATP synthase subunit alpha, mitochondrial",0.204027207955633,0.344503619106158,"type_2"
"3565","HRC","Sarcoplasmic reticulum histidine-rich calcium-binding protein",0.204019018090518,0.182761919480622,"type_2"
"3566","NDUFA2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",0.20394011179566,0.381449957727578,"type_2"
"3567","MEMO1","Protein MEMO1",0.203603875369396,0.206230091268969,"type_2"
"3568","UBE2F","NEDD8-conjugating enzyme UBE2F",0.203345782814122,0.198705368451277,"type_2"
"3569","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase",0.203121030106216,0.235224990304758,"type_2"
"3570","RTN3","Reticulon-3",0.202292263129698,0.219874417498539,"type_2"
"3571","PSMC6","26S proteasome regulatory subunit 10B",0.202273716429463,0.0738843158612179,"type_2"
"3572","EDF1","Endothelial differentiation-related factor 1",0.202141444657054,0.262339359145897,"type_2"
"3573","MTIF2","Translation initiation factor IF-2, mitochondrial",0.20200893961051,0.490887799717464,"type_2"
"3574","TIMM8A","Mitochondrial import inner membrane translocase subunit Tim8 A",0.201802095863769,0.216091655850668,"type_2"
"3575","LARP4","La-related protein 4",0.201745486584182,0.374508134376127,"type_2"
"3576","RER1","Protein RER1",0.201724393144264,0.412814935708007,"type_2"
"3577","OXSR1","Serine/threonine-protein kinase OSR1",0.200901156586585,0.235300814439228,"type_2"
"3578","PSMD4","26S proteasome non-ATPase regulatory subunit 4",0.200565545603023,0.0660963658296771,"type_2"
"3579","GATC","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",0.200499561155601,0.308108553613578,"type_2"
"3580","AKAP12","A-kinase anchor protein 12",0.200080623250106,0.498063320021456,"type_2"
"3581","MTRF1L","Peptide chain release factor 1-like, mitochondrial",0.199917316063331,0.357888161855684,"type_2"
"3582","RPL10","60S ribosomal protein L10",0.199705024434895,0.309726298203496,"type_2"
"3583","ANP32E","Acidic leucine-rich nuclear phosphoprotein 32 family member E",0.199415577302034,0.216054790424509,"type_2"
"3584","SMTNL2","Smoothelin-like protein 2",0.199001661443015,0.235224990304758,"type_2"
"3585","SIPA1","Signal-induced proliferation-associated protein 1",0.198975893833961,0.534935723093855,"type_2"
"3586","CYB5R3","NADH-cytochrome b5 reductase 3",0.198395809372244,0.0770412973943934,"type_2"
"3587","SNRPC","U1 small nuclear ribonucleoprotein C",0.198298861695953,0.285318141683048,"type_2"
"3588","HSPBP1","Hsp70-binding protein 1",0.19820873593409,0.21729079626325,"type_2"
"3589","CCT4","T-complex protein 1 subunit delta",0.197639247504991,0.168777409033431,"type_2"
"3590","TNFAIP2","Tumor necrosis factor alpha-induced protein 2",0.197181346308328,0.397630207100302,"type_2"
"3591","MFF","Mitochondrial fission factor",0.197143838361896,0.238332987850696,"type_2"
"3592","PPP2R5A","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",0.196998371143509,0.267318249738911,"type_2"
"3593","MYOT","Myotilin",0.196945921079877,0.0775393084644216,"type_2"
"3594","UBE2N","Ubiquitin-conjugating enzyme E2 N",0.196326501248143,0.257359728150805,"type_2"
"3595","CNDP2","Cytosolic non-specific dipeptidase",0.196292438043409,0.120392307449231,"type_2"
"3596","MCTS1","Malignant T-cell-amplified sequence 1",0.195592867591994,0.167234905817931,"type_2"
"3597","EEF1B2","Elongation factor 1-beta",0.195289021699763,0.20181650535949,"type_2"
"3598","EEF2","Elongation factor 2",0.194907338739508,0.0687350955135699,"type_2"
"3599","MYO18A","Unconventional myosin-XVIIIa",0.194311258570838,0.342250408268696,"type_2"
"3600","MTARC2","Mitochondrial amidoxime reducing component 2",0.194041313654587,0.380641604313252,"type_2"
"3601","CMAS","N-acylneuraminate cytidylyltransferase",0.1939916953765,0.357888161855684,"type_2"
"3602","DCTN1","Dynactin subunit 1",0.193096005405891,0.107638677693957,"type_2"
"3603","RNPEP","Aminopeptidase B",0.192912890558548,0.298535104721048,"type_2"
"3604","PSMD3","26S proteasome non-ATPase regulatory subunit 3",0.192912126604774,0.162487915455265,"type_2"
"3605","XIRP1","Xin actin-binding repeat-containing protein 1",0.19258242347026,0.477774213576722,"type_2"
"3606","COPA","Coatomer subunit alpha",0.192455666158267,0.315433474038426,"type_2"
"3607","NDUFS1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.192344724143787,0.321608040439842,"type_2"
"3608","PDE12","2',5'-phosphodiesterase 12",0.192065185598329,0.249257452921299,"type_2"
"3609","ECI2","Enoyl-CoA delta isomerase 2",0.192062489455054,0.267991607481936,"type_2"
"3610","NDUFV2","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",0.19204852167762,0.325091508276818,"type_2"
"3611","KPNA3","Importin subunit alpha-4",0.191962072868122,0.226025502435194,"type_2"
"3612","CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.191947376861728,0.32131478968784,"type_2"
"3613","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial",0.191541604966154,0.282036928896002,"type_2"
"3614","LARS2","Leucine--tRNA ligase, mitochondrial",0.191527505866695,0.360850916523262,"type_2"
"3615","EMD","Emerin",0.191467498735708,0.141191001775729,"type_2"
"3616","QDPR","Dihydropteridine reductase",0.19127805947762,0.200366975997625,"type_2"
"3617","LMOD3","Leiomodin-3",0.191229248434786,0.183496559476144,"type_2"
"3618","GPC1","Glypican-1",0.190992527202082,0.311894512057371,"type_2"
"3619","ATP5IF1","ATPase inhibitor, mitochondrial",0.189947601142585,0.475151098264572,"type_2"
"3620","IAH1","Isoamyl acetate-hydrolyzing esterase 1 homolog",0.189825976139904,0.285511107956666,"type_2"
"3621","LTA4H","Leukotriene A-4 hydrolase",0.189812067628244,0.0723802656699047,"type_2"
"3622","NDUFA11","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11",0.189705569434642,0.422210090073075,"type_2"
"3623","FILIP1","Filamin-A-interacting protein 1",0.189675011837208,0.251677876266654,"type_2"
"3624","APIP","Methylthioribulose-1-phosphate dehydratase",0.189496558267301,0.283536654280156,"type_2"
"3625","DAZAP1","DAZ-associated protein 1",0.189404061556894,0.238332987850696,"type_2"
"3626","EPDR1","Mammalian ependymin-related protein 1",0.18934651055744,0.278531439798217,"type_2"
"3627","SIL1","Nucleotide exchange factor SIL1",0.189239628114002,0.415901588809296,"type_2"
"3628","RBM8A","RNA-binding protein 8A",0.189233001190679,0.353271386940719,"type_2"
"3629","CCT2","T-complex protein 1 subunit beta",0.189214696431254,0.111077104332929,"type_2"
"3630","G6PD","Glucose-6-phosphate 1-dehydrogenase",0.188915160744298,0.376782763761782,"type_2"
"3631","UBE2H","Ubiquitin-conjugating enzyme E2 H",0.188665902411389,0.291738535449885,"type_2"
"3632","NDUFS3","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.188032488770979,0.308108553613578,"type_2"
"3633","NT5DC1","5'-nucleotidase domain-containing protein 1",0.187745459158366,0.246896362061874,"type_2"
"3634","CROCC","Rootletin",0.187716844284823,0.4839100086539,"type_2"
"3635","PERM1","PGC-1 and ERR-induced regulator in muscle protein 1",0.186903242864265,0.299050332086497,"type_2"
"3636","COQ10A","Coenzyme Q-binding protein COQ10 homolog A, mitochondrial",0.186887959546587,0.300043155346049,"type_2"
"3637","ANP32B","Acidic leucine-rich nuclear phosphoprotein 32 family member B",0.186807723357596,0.182659128695319,"type_2"
"3638","MAP2K1","Dual specificity mitogen-activated protein kinase kinase 1",0.186602011988672,0.215794394017801,"type_2"
"3639","FBLN5","Fibulin-5",0.186411745650023,0.424346483483476,"type_2"
"3640","PARK7","Parkinson disease protein 7",0.186352189155052,0.148553166224931,"type_2"
"3641","SYNC","Syncoilin",0.186298375272107,0.216054790424509,"type_2"
"3642","BCCIP","BRCA2 and CDKN1A-interacting protein",0.185910558950544,0.340169409478696,"type_2"
"3643","PON2","Serum paraoxonase/arylesterase 2",0.18579927778125,0.464628978781797,"type_2"
"3644","MRPL13","39S ribosomal protein L13, mitochondrial",0.185445753950594,0.344503619106158,"type_2"
"3645","LETM1","Mitochondrial proton/calcium exchanger protein",0.185349483274203,0.174938638516974,"type_2"
"3646","ABCB7","Iron-sulfur clusters transporter ABCB7, mitochondrial",0.184932841492724,0.420776962856665,"type_2"
"3647","SPARC","SPARC",0.184445638541201,0.300043155346049,"type_2"
"3648","CSRP1","Cysteine and glycine-rich protein 1",0.184296124677138,0.299919964864787,"type_2"
"3649","TRAP1","Heat shock protein 75 kDa, mitochondrial",0.18413670432184,0.240567535240194,"type_2"
"3650","SCFD1","Sec1 family domain-containing protein 1",0.184023405878895,0.144182193068646,"type_2"
"3651","FAHD1","Acylpyruvase FAHD1, mitochondrial",0.183912452047741,0.216716403015695,"type_2"
"3652","GRSF1","G-rich sequence factor 1",0.183761421154594,0.174709148792886,"type_2"
"3653","MSN","Moesin",0.183665356389181,0.114026737842644,"type_2"
"3654","NRAP","Nebulin-related-anchoring protein",0.183329932626808,0.519255211129184,"type_2"
"3655","EIF3M","Eukaryotic translation initiation factor 3 subunit M",0.183189429455634,0.275336211810621,"type_2"
"3656","UBE2A","Ubiquitin-conjugating enzyme E2 A",0.183178093472621,0.345118728046642,"type_2"
