"","Gene_name","Description","log2FC_post-pre","q-value","sex","fiber_type"
"7256","C6orf136","Uncharacterized protein C6orf136",-0.00028458831146771,0.592854694685471,"female","type_2"
"7257","RPL21","60S ribosomal protein L21",-0.00051319456907172,0.592443871476563,"female","type_2"
"7258","PSMD3","26S proteasome non-ATPase regulatory subunit 3",-0.0005743068997237,0.591461425247702,"female","type_2"
"7259","BZW2","eIF5-mimic protein 1",-0.00067769763189851,0.591404616660501,"female","type_2"
"7260","DCAF7","DDB1- and CUL4-associated factor 7",-0.00074186428743239,0.591404616660501,"female","type_2"
"7261","RPL27","60S ribosomal protein L27",-0.00087887555254262,0.591404616660501,"female","type_2"
"7262","NCL","Nucleolin",-0.00089442205729639,0.591404616660501,"female","type_2"
"7263","GPD1L","Glycerol-3-phosphate dehydrogenase 1-like protein",-0.0011307689595963,0.591404616660501,"female","type_2"
"7264","NAA50","N-alpha-acetyltransferase 50",-0.00119491297144414,0.591246393831277,"female","type_2"
"7265","TRIM63","E3 ubiquitin-protein ligase TRIM63",-0.00132489388697188,0.591404616660501,"female","type_2"
"7266","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",-0.00145693102883548,0.591246393831277,"female","type_2"
"7267","PET117","Protein PET117 homolog, mitochondrial",-0.00150809939134433,0.591404616660501,"female","type_2"
"7268","DDAH2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",-0.00160837982616435,0.591404616660501,"female","type_2"
"7269","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1",-0.00183219633106191,0.591404616660501,"female","type_2"
"7270","PRUNE1","Exopolyphosphatase PRUNE1",-0.00188335029599074,0.590646362619131,"female","type_2"
"7271","EIF4G1","Eukaryotic translation initiation factor 4 gamma 1",-0.00204191210526972,0.588045952010851,"female","type_2"
"7272","CCDC22","Coiled-coil domain-containing protein 22",-0.00205820265731127,0.591246393831277,"female","type_2"
"7273","ATOX1","Copper transport protein ATOX1",-0.00225570618940019,0.589075828841023,"female","type_2"
"7274","GSPT1","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A",-0.00228334009880093,0.588045952010851,"female","type_2"
"7275","NUP62","Nuclear pore glycoprotein p62",-0.00242874837126195,0.591404616660501,"female","type_2"
"7276","LIMS1","LIM and senescent cell antigen-like-containing domain protein 1",-0.00252317996817553,0.589075828841023,"female","type_2"
"7277","CORO1B","Coronin-1B",-0.00259626770507637,0.590646362619131,"female","type_2"
"7278","ATG7","Ubiquitin-like modifier-activating enzyme ATG7",-0.00272869444727775,0.591246393831277,"female","type_2"
"7279","ATP5F1C","ATP synthase subunit gamma, mitochondrial",-0.00273176677210785,0.590518880451308,"female","type_2"
"7280","NDUFAB1","Acyl carrier protein, mitochondrial",-0.00274539144999864,0.588045952010851,"female","type_2"
"7281","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial",-0.00286829280023682,0.589075828841023,"female","type_2"
"7282","PSMD13","26S proteasome non-ATPase regulatory subunit 13",-0.00336955301415287,0.581114244195764,"female","type_2"
"7283","GPX4","Phospholipid hydroperoxide glutathione peroxidase",-0.00337908746287141,0.586468107314723,"female","type_2"
"7284","HSPB8","Heat shock protein beta-8",-0.00361009182367411,0.589075828841023,"female","type_2"
"7285","CSE1L","Exportin-2",-0.00369591258460922,0.587342222301219,"female","type_2"
"7286","DDX1","ATP-dependent RNA helicase DDX1",-0.00403471056658056,0.582612581092882,"female","type_2"
"7287","FMC1","Protein FMC1 homolog",-0.00430095412586695,0.589075828841023,"female","type_2"
"7288","LRRC2","Leucine-rich repeat-containing protein 2",-0.00457001520112676,0.588688601209233,"female","type_2"
"7289","CYB5A","Cytochrome b5",-0.00462989902846367,0.587837441878169,"female","type_2"
"7290","GON7","EKC/KEOPS complex subunit GON7",-0.00476259544874758,0.590518880451308,"female","type_2"
"7291","PSMA4","Proteasome subunit alpha type-4",-0.00477075293235352,0.588045952010851,"female","type_2"
"7292","UBR4","E3 ubiquitin-protein ligase UBR4",-0.00533958232029796,0.587670266683203,"female","type_2"
"7293","UQCRC2","Cytochrome b-c1 complex subunit 2, mitochondrial",-0.00565008928193222,0.585242352013491,"female","type_2"
"7294","C1QBP","Complement component 1 Q subcomponent-binding protein, mitochondrial",-0.00566076033601348,0.578079845635959,"female","type_2"
"7295","PRDX2","Peroxiredoxin-2",-0.00608718281972997,0.577959604838889,"female","type_2"
"7296","FECH","Ferrochelatase, mitochondrial",-0.00654702600677659,0.572736775624927,"female","type_2"
"7297","HMBS","Porphobilinogen deaminase",-0.00682882129759754,0.585242352013491,"female","type_2"
"7298","RPLP0","60S acidic ribosomal protein P0",-0.00702284396231612,0.577046524741473,"female","type_2"
"7299","HSPBP1","Hsp70-binding protein 1",-0.00712926819412196,0.579732905741615,"female","type_2"
"7300","HDGF","Hepatoma-derived growth factor",-0.0072214807138451,0.57974885992171,"female","type_2"
"7301","COX17","Cytochrome c oxidase copper chaperone",-0.00727563983469182,0.588045952010851,"female","type_2"
"7302","IGHG3","Immunoglobulin heavy constant gamma 3",-0.00736895679611038,0.58426628605128,"female","type_2"
"7303","HNRNPL","Heterogeneous nuclear ribonucleoprotein L",-0.00739302607503767,0.570446084024107,"female","type_2"
"7304","PSMD4","26S proteasome non-ATPase regulatory subunit 4",-0.00743852556793456,0.5687453030109,"female","type_2"
"7305","DMAC1","Distal membrane-arm assembly complex protein 1",-0.00756248038254803,0.588045952010851,"female","type_2"
"7306","ADK","Adenosine kinase",-0.00768382802993628,0.570446084024107,"female","type_2"
"7307","COPG2","Coatomer subunit gamma-2",-0.00775153235958292,0.57974885992171,"female","type_2"
"7308","PRKCQ","Protein kinase C theta type",-0.00801944592014792,0.578614603519699,"female","type_2"
"7309","EPN1","Epsin-1",-0.0081027614626219,0.584912685970288,"female","type_2"
"7310","ACTR1A","Alpha-centractin",-0.00822287304429459,0.577238081305325,"female","type_2"
"7311","TRIM28","Transcription intermediary factor 1-beta",-0.00831237882240643,0.576845024400794,"female","type_2"
"7312","PPP1R14C","Protein phosphatase 1 regulatory subunit 14C",-0.00835965512563597,0.577959604838889,"female","type_2"
"7313","STX7","Syntaxin-7",-0.00838290865572056,0.585020567949978,"female","type_2"
"7314","SEC22B","Vesicle-trafficking protein SEC22b",-0.00888820135345902,0.573526901019928,"female","type_2"
"7315","GLTP","Glycolipid transfer protein",-0.00911018420415211,0.577959604838889,"female","type_2"
"7316","MYL11","Myosin regulatory light chain 11",-0.00919680563572101,0.570446084024107,"female","type_2"
"7317","MRI1","Methylthioribose-1-phosphate isomerase",-0.00926495924758619,0.587175680924797,"female","type_2"
"7318","SUMO2","Small ubiquitin-related modifier 2",-0.00949800342294616,0.581146287441594,"female","type_2"
"7319","STYXL2","Serine/threonine/tyrosine-interacting-like protein 2",-0.00971305607460415,0.580860230872686,"female","type_2"
"7320","EIF3L","Eukaryotic translation initiation factor 3 subunit L",-0.00989124090536819,0.570446084024107,"female","type_2"
"7321","NFS1","Cysteine desulfurase",-0.00998657481275167,0.570446084024107,"female","type_2"
"7322","ADPRH","ADP-ribosylhydrolase ARH1",-0.0100925810426009,0.578614603519699,"female","type_2"
"7323","RNF7","RING-box protein 2",-0.0101776549467161,0.58426628605128,"female","type_2"
"7324","NDUFA1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1",-0.010555785672933,0.5694796942941,"female","type_2"
"7325","ATP6V1B2","V-type proton ATPase subunit B, brain isoform",-0.0110048363512867,0.565112230091632,"female","type_2"
"7326","BPNT1","3'(2'),5'-bisphosphate nucleotidase 1",-0.0110505101615068,0.570673853789957,"female","type_2"
"7327","GNPDA1","Glucosamine-6-phosphate isomerase 1",-0.0110781864186276,0.564935890919414,"female","type_2"
"7328","MIX23","Protein MIX23",-0.0111257107845617,0.571965592541286,"female","type_2"
"7329","XPNPEP1","Xaa-Pro aminopeptidase 1",-0.011132522397526,0.558314773049291,"female","type_2"
"7330","PPP2R3A","Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha",-0.0116392977986859,0.579732905741615,"female","type_2"
"7331","PPP1R3A","Protein phosphatase 1 regulatory subunit 3A",-0.01172567069551,0.564091952310473,"female","type_2"
"7332","SORBS1","Sorbin and SH3 domain-containing protein 1",-0.0117866223403915,0.556286452028932,"female","type_2"
"7333","HMGB2","High mobility group protein B2",-0.0118768331243277,0.577959604838889,"female","type_2"
"7334","COX4I1","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",-0.0119224350178904,0.571120211097138,"female","type_2"
"7335","LRRFIP2","Leucine-rich repeat flightless-interacting protein 2",-0.0121203501236984,0.579732905741615,"female","type_2"
"7336","PSMB1","Proteasome subunit beta type-1",-0.0122058417998563,0.564091952310473,"female","type_2"
"7337","MGLL","Monoglyceride lipase",-0.0127124824048082,0.571965592541286,"female","type_2"
"7338","LYPLA2","Acyl-protein thioesterase 2",-0.0128238025993177,0.564091952310473,"female","type_2"
"7339","CFL1","Cofilin-1",-0.0130814937850356,0.562861431573492,"female","type_2"
"7340","PTPN23","Tyrosine-protein phosphatase non-receptor type 23",-0.0132473993954534,0.570446084024107,"female","type_2"
"7341","STOML2","Stomatin-like protein 2, mitochondrial",-0.0134586885067911,0.571965592541286,"female","type_2"
"7342","SRP9","Signal recognition particle 9 kDa protein",-0.0137374908150445,0.553251321268678,"female","type_2"
"7343","NUDT9","ADP-ribose pyrophosphatase, mitochondrial",-0.013837036795028,0.567546073252945,"female","type_2"
"7344","MYL12B","Myosin regulatory light chain 12B",-0.0141823174601825,0.577959604838889,"female","type_2"
"7345","CCS","Copper chaperone for superoxide dismutase",-0.0141994712938445,0.568458934948841,"female","type_2"
"7346","FAM136A","Protein FAM136A",-0.0142238437656186,0.570446084024107,"female","type_2"
"7347","PLIN2","Perilipin-2",-0.0145368914991515,0.578614603519699,"female","type_2"
"7348","GPT","Alanine aminotransferase 1",-0.0146877606277354,0.571965592541286,"female","type_2"
"7349","TMED7","Transmembrane emp24 domain-containing protein 7",-0.0148821266952428,0.568534875535829,"female","type_2"
"7350","SMU1","WD40 repeat-containing protein SMU1",-0.0148909051064479,0.576845024400794,"female","type_2"
"7351","NDUFA12","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12",-0.015276023465935,0.567274112114288,"female","type_2"
"7352","ALDH1A2","Retinal dehydrogenase 2",-0.0152921452151027,0.577959604838889,"female","type_2"
"7353","CPPED1","Serine/threonine-protein phosphatase CPPED1",-0.0154295944847078,0.571965592541286,"female","type_2"
"7354","DYNLL2","Dynein light chain 2, cytoplasmic",-0.0154418024755003,0.573526901019928,"female","type_2"
"7355","IGHG1","Immunoglobulin heavy constant gamma 1",-0.0160509864298675,0.571120211097138,"female","type_2"
"7356","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",-0.0161470602283433,0.571120211097138,"female","type_2"
"7357","MICAL3","[F-actin]-monooxygenase MICAL3",-0.0162357607225907,0.578614603519699,"female","type_2"
"7358","VAC14","Protein VAC14 homolog",-0.0162409918041515,0.564091952310473,"female","type_2"
"7359","AK2","Adenylate kinase 2, mitochondrial",-0.0164053981808774,0.559392511887401,"female","type_2"
"7360","CSTB","Cystatin-B",-0.0165501967928776,0.543453635110938,"female","type_2"
"7361","CYCS","Cytochrome c",-0.0168490137600337,0.577238081305325,"female","type_2"
"7362","ASB10","Ankyrin repeat and SOCS box protein 10",-0.0169090297691135,0.583355651293746,"female","type_2"
"7363","SLC27A1","Long-chain fatty acid transport protein 1",-0.0171175290724737,0.551570282168176,"female","type_2"
"7364","CSNK2A1","Casein kinase II subunit alpha",-0.017210407277334,0.546769636343734,"female","type_2"
"7365","THBS4","Thrombospondin-4",-0.017267832059332,0.567546073252945,"female","type_2"
"7366","PACSIN2","Protein kinase C and casein kinase substrate in neurons protein 2",-0.0173983853155857,0.554138336711174,"female","type_2"
"7367","MAVS","Mitochondrial antiviral-signaling protein",-0.0179570882127837,0.555111173535767,"female","type_2"
"7368","PKIA","cAMP-dependent protein kinase inhibitor alpha",-0.0180991985405612,0.555316810769318,"female","type_2"
"7369","AKR1B1","Aldo-keto reductase family 1 member B1",-0.0181048042833467,0.553251321268678,"female","type_2"
"7370","PPP2CA","Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform",-0.0181188539324246,0.578614603519699,"female","type_2"
"7371","RTN4IP1","Reticulon-4-interacting protein 1, mitochondrial",-0.0182317909991259,0.555767575126633,"female","type_2"
"7372","TPRKB","EKC/KEOPS complex subunit TPRKB",-0.0183512293595527,0.567546073252945,"female","type_2"
"7373","MFF","Mitochondrial fission factor",-0.0184545153412099,0.564091952310473,"female","type_2"
"7374","RPL10A","60S ribosomal protein L10a",-0.0184577817153002,0.564091952310473,"female","type_2"
"7375","ADH5","Alcohol dehydrogenase class-3",-0.0187488834321723,0.552144817607775,"female","type_2"
"7376","ALDH5A1","Succinate-semialdehyde dehydrogenase, mitochondrial",-0.0195528700979821,0.562861431573492,"female","type_2"
"7377","CUL4A","Cullin-4A",-0.0196451175121819,0.543453635110938,"female","type_2"
"7378","MRPL44","39S ribosomal protein L44, mitochondrial",-0.0196793638019521,0.543453635110938,"female","type_2"
"7379","HNRNPA2B1","Heterogeneous nuclear ribonucleoproteins A2/B1",-0.0198054005632713,0.540450655020466,"female","type_2"
"7380","RAC1","Ras-related C3 botulinum toxin substrate 1",-0.0201166246841602,0.537921577664756,"female","type_2"
"7381","PITPNA","Phosphatidylinositol transfer protein alpha isoform",-0.020259753051624,0.55502742818932,"female","type_2"
"7382","MTM1","Myotubularin",-0.0206252442633748,0.541901111302404,"female","type_2"
"7383","COQ7","5-demethoxyubiquinone hydroxylase, mitochondrial",-0.0208021935642542,0.541293475389348,"female","type_2"
"7384","SNX9","Sorting nexin-9",-0.0209354020446728,0.553251321268678,"female","type_2"
"7385","AKR1A1","Aldo-keto reductase family 1 member A1",-0.0210450432870903,0.539092970827844,"female","type_2"
"7386","OSBPL9","Oxysterol-binding protein-related protein 9",-0.0210634118938025,0.574059854700839,"female","type_2"
"7387","PSMD8","26S proteasome non-ATPase regulatory subunit 8",-0.0219248100062011,0.543453635110938,"female","type_2"
"7388","MTRR","Methionine synthase reductase",-0.0219316240564602,0.561379028869623,"female","type_2"
"7389","NEDD8","NEDD8",-0.0220647540445782,0.546769636343734,"female","type_2"
"7390","USP9X","Probable ubiquitin carboxyl-terminal hydrolase FAF-X",-0.0220778637651069,0.532298563677793,"female","type_2"
"7391","CEFIP","Cardiac-enriched FHL2-interacting protein",-0.0223637985607628,0.541677543868336,"female","type_2"
"7392","DDX19A","ATP-dependent RNA helicase DDX19A",-0.0227412378261267,0.561415436304704,"female","type_2"
"7393","CZIB","CXXC motif containing zinc binding protein",-0.0227863835528037,0.541901111302404,"female","type_2"
"7394","UBAP2L","Ubiquitin-associated protein 2-like",-0.022833182255944,0.55502742818932,"female","type_2"
"7395","G3BP2","Ras GTPase-activating protein-binding protein 2",-0.0228505436904971,0.537457291443539,"female","type_2"
"7396","ACSS2","Acetyl-coenzyme A synthetase, cytoplasmic",-0.0230042022946613,0.520656028884393,"female","type_2"
"7397","FUBP1","Far upstream element-binding protein 1",-0.0230362992691955,0.545262746663031,"female","type_2"
"7398","GSTM2","Glutathione S-transferase Mu 2",-0.0232985283697609,0.531611077576473,"female","type_2"
"7399","SCRN3","Secernin-3",-0.0234849749308079,0.541415709148426,"female","type_2"
"7400","FXN","Frataxin, mitochondrial",-0.0235442689953427,0.529251724930464,"female","type_2"
"7401","PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",-0.0237293414819408,0.557181011445858,"female","type_2"
"7402","SPG7","Paraplegin",-0.0237697364417464,0.545803773507111,"female","type_2"
"7403","THAP4","Peroxynitrite isomerase THAP4",-0.0238099913998067,0.546769636343734,"female","type_2"
"7404","BCAM","Basal cell adhesion molecule",-0.0238154994051989,0.538327439508882,"female","type_2"
"7405","JAGN1","Protein jagunal homolog 1",-0.0238201151133826,0.555619838346809,"female","type_2"
"7406","GCDH","Glutaryl-CoA dehydrogenase, mitochondrial",-0.0243779549822598,0.543453635110938,"female","type_2"
"7407","EEF2K","Eukaryotic elongation factor 2 kinase",-0.0244678033084309,0.541901111302404,"female","type_2"
"7408","ADD1","Alpha-adducin",-0.0248506444111118,0.557181011445858,"female","type_2"
"7409","UBE2H","Ubiquitin-conjugating enzyme E2 H",-0.0249837266978954,0.555316810769318,"female","type_2"
"7410","RPL8","60S ribosomal protein L8",-0.0257262496465689,0.551570282168176,"female","type_2"
"7411","GSPT2","Eukaryotic peptide chain release factor GTP-binding subunit ERF3B",-0.0262890482917264,0.571120211097138,"female","type_2"
"7412","ENSA","Alpha-endosulfine",-0.0264016671446523,0.528600048468385,"female","type_2"
"7413","HADHA","Trifunctional enzyme subunit alpha, mitochondrial",-0.0264182632794991,0.538025008872408,"female","type_2"
"7414","EIF4A2","Eukaryotic initiation factor 4A-II",-0.0264585234413772,0.514048748111509,"female","type_2"
"7415","SMYD1","Histone-lysine N-methyltransferase SMYD1",-0.0264838168750714,0.511324403288554,"female","type_2"
"7416","COASY","Bifunctional coenzyme A synthase",-0.0267535502645035,0.528020051757154,"female","type_2"
"7417","PSPC1","Paraspeckle component 1",-0.0267628877894932,0.555316810769318,"female","type_2"
"7418","EMD","Emerin",-0.0272447204987625,0.522158399389132,"female","type_2"
"7419","MAP3K20","Mitogen-activated protein kinase kinase kinase 20",-0.0275106552909676,0.538182344648941,"female","type_2"
"7420","IMPACT","Protein IMPACT",-0.027590476892863,0.555316810769318,"female","type_2"
"7421","PSMD1","26S proteasome non-ATPase regulatory subunit 1",-0.0276794935183879,0.495188119412432,"female","type_2"
"7422","AARSD1","Alanyl-tRNA editing protein Aarsd1",-0.0279175349370355,0.520656028884393,"female","type_2"
"7423","P4HA1","Prolyl 4-hydroxylase subunit alpha-1",-0.0279490202183474,0.561415436304704,"female","type_2"
"7424","STIP1","Stress-induced-phosphoprotein 1",-0.0279841445082685,0.506568632911764,"female","type_2"
"7425","RDH14","Retinol dehydrogenase 14",-0.0281497727648325,0.545606040510426,"female","type_2"
"7426","RPRD1B","Regulation of nuclear pre-mRNA domain-containing protein 1B",-0.0282163610903936,0.537457291443539,"female","type_2"
"7427","EPRS1","Bifunctional glutamate/proline--tRNA ligase",-0.028345965314216,0.504019063693934,"female","type_2"
"7428","OGDH","2-oxoglutarate dehydrogenase complex component E1",-0.0284439074477092,0.527529951957281,"female","type_2"
"7429","PGRMC1","Membrane-associated progesterone receptor component 1",-0.0285327347392457,0.559210111882675,"female","type_2"
"7430","TNNC2","Troponin C, skeletal muscle",-0.0288712153038162,0.531629597779951,"female","type_2"
"7431","SBDS","Ribosome maturation protein SBDS",-0.0291017000306777,0.538327439508882,"female","type_2"
"7432","NUP54","Nucleoporin p54",-0.0292331154463579,0.532174326401497,"female","type_2"
"7433","HEBP2","Heme-binding protein 2",-0.0292787027175514,0.503673879404272,"female","type_2"
"7434","TLN1","Talin-1",-0.0295548552273068,0.503930773676905,"female","type_2"
"7435","EIF2S1","Eukaryotic translation initiation factor 2 subunit 1",-0.0298273610089002,0.511574582055341,"female","type_2"
"7436","EHD1","EH domain-containing protein 1",-0.02983992693534,0.506568632911764,"female","type_2"
"7437","PLEC","Plectin",-0.0302960788997613,0.5174105435437,"female","type_2"
"7438","SIPA1","Signal-induced proliferation-associated protein 1",-0.0305989396374322,0.573526901019928,"female","type_2"
"7439","PRCP","Lysosomal Pro-X carboxypeptidase",-0.0308800256984689,0.571965592541286,"female","type_2"
"7440","POTEJ","POTE ankyrin domain family member J",-0.0315389319311237,0.567546073252945,"female","type_2"
"7441","GCLC","Glutamate--cysteine ligase catalytic subunit",-0.0318426666053089,0.552144817607775,"female","type_2"
"7442","UBQLN4","Ubiquilin-4",-0.0319527552805638,0.564091952310473,"female","type_2"
"7443","UGGT1","UDP-glucose:glycoprotein glucosyltransferase 1",-0.0322981569544503,0.511574582055341,"female","type_2"
"7444","MPI","Mannose-6-phosphate isomerase",-0.0323093099701151,0.471464584705918,"female","type_2"
"7445","HINT2","Adenosine 5'-monophosphoramidase HINT2",-0.0323352386392894,0.520323537553157,"female","type_2"
"7446","SNAP23","Synaptosomal-associated protein 23",-0.0326213846028107,0.531085480605433,"female","type_2"
"7447","FDPS","Farnesyl pyrophosphate synthase",-0.0326662890940117,0.504019063693934,"female","type_2"
"7448","EML1","Echinoderm microtubule-associated protein-like 1",-0.032786719712135,0.514048748111509,"female","type_2"
"7449","CCT7","T-complex protein 1 subunit eta",-0.0331484612994064,0.490804232392622,"female","type_2"
"7450","IMPDH2","Inosine-5'-monophosphate dehydrogenase 2",-0.0332858819142103,0.511734562218119,"female","type_2"
"7451","RARS1","Arginine--tRNA ligase, cytoplasmic",-0.0335185817754144,0.496193185301418,"female","type_2"
"7452","SDR39U1","Epimerase family protein SDR39U1",-0.0335577029353562,0.541677543868336,"female","type_2"
"7453","DDT","D-dopachrome decarboxylase",-0.0336237284176946,0.559389011870856,"female","type_2"
"7454","HEXB","Beta-hexosaminidase subunit beta",-0.0342989683480432,0.543453635110938,"female","type_2"
"7455","CARHSP1","Calcium-regulated heat-stable protein 1",-0.0343052022948935,0.536246825682861,"female","type_2"
"7456","HUWE1","E3 ubiquitin-protein ligase HUWE1",-0.0345922634772577,0.51609255335617,"female","type_2"
"7457","TKFC","Triokinase/FMN cyclase",-0.0347384278883407,0.522158399389132,"female","type_2"
"7458","GATD1","Glutamine amidotransferase-like class 1 domain-containing protein 1",-0.0349673149184007,0.551874113128594,"female","type_2"
"7459","KPNA1","Importin subunit alpha-5",-0.0350144929310439,0.510246214932804,"female","type_2"
"7460","CCDC134","Coiled-coil domain-containing protein 134",-0.035264019720513,0.575536791312277,"female","type_2"
"7461","GNB2","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",-0.0353472009813416,0.474573660569952,"female","type_2"
"7462","MRPS31","28S ribosomal protein S31, mitochondrial",-0.0356607193127978,0.543453635110938,"female","type_2"
"7463","GDI1","Rab GDP dissociation inhibitor alpha",-0.0356974440944171,0.503930773676905,"female","type_2"
"7464","UBE2O","(E3-independent) E2 ubiquitin-conjugating enzyme",-0.0357509508071665,0.522158399389132,"female","type_2"
"7465","MYOZ3","Myozenin-3",-0.035859670517123,0.503930773676905,"female","type_2"
"7466","CCDC51","Mitochondrial potassium channel",-0.0359750607886156,0.538327439508882,"female","type_2"
"7467","RPS6KA3","Ribosomal protein S6 kinase alpha-3",-0.0360958022658515,0.464034897333707,"female","type_2"
"7468","IGFBP7","Insulin-like growth factor-binding protein 7",-0.0361806495292925,0.545803773507111,"female","type_2"
"7469","EIF3A","Eukaryotic translation initiation factor 3 subunit A",-0.0363329256806377,0.496104495361253,"female","type_2"
"7470","TNFAIP2","Tumor necrosis factor alpha-induced protein 2",-0.0363607713268443,0.543453635110938,"female","type_2"
"7471","EIF2S3","Eukaryotic translation initiation factor 2 subunit 3",-0.0364187497871491,0.496104495361253,"female","type_2"
"7472","MAPK12","Mitogen-activated protein kinase 12",-0.0364515718483904,0.49620071032132,"female","type_2"
"7473","DDX39B","Spliceosome RNA helicase DDX39B",-0.0365319621445952,0.469252954645392,"female","type_2"
"7474","IGHG4","Immunoglobulin heavy constant gamma 4",-0.0368576540903405,0.551874113128594,"female","type_2"
"7475","COPS4","COP9 signalosome complex subunit 4",-0.0369025065854007,0.476043919018539,"female","type_2"
"7476","PBDC1","Protein PBDC1",-0.0371477924465893,0.496104495361253,"female","type_2"
"7477","WDR77","Methylosome protein 50",-0.0371977617686703,0.496384045849707,"female","type_2"
"7478","TOMM22","Mitochondrial import receptor subunit TOM22 homolog",-0.0375816019438897,0.541192964588551,"female","type_2"
"7479","ATAD1","Outer mitochondrial transmembrane helix translocase",-0.0376107271763981,0.515357311313421,"female","type_2"
"7480","SNTB1","Beta-1-syntrophin",-0.0378134340411425,0.503930773676905,"female","type_2"
"7481","NAP1L4","Nucleosome assembly protein 1-like 4",-0.0378309966077897,0.471656052141874,"female","type_2"
"7482","AP2M1","AP-2 complex subunit mu",-0.0379564668781871,0.496104495361253,"female","type_2"
"7483","AP2S1","AP-2 complex subunit sigma",-0.0386184138629364,0.515357311313421,"female","type_2"
"7484","FABP4","Fatty acid-binding protein, adipocyte",-0.0390040987867,0.514588498763711,"female","type_2"
"7485","NAE1","NEDD8-activating enzyme E1 regulatory subunit",-0.0390425976478355,0.44931272641748,"female","type_2"
"7486","GFER","FAD-linked sulfhydryl oxidase ALR",-0.039092659587709,0.517632149328317,"female","type_2"
"7487","SUN1","SUN domain-containing protein 1",-0.0397550899201864,0.531425630247407,"female","type_2"
"7488","COPG1","Coatomer subunit gamma-1",-0.039991396356772,0.539140949192279,"female","type_2"
"7489","AHCYL1","S-adenosylhomocysteine hydrolase-like protein 1",-0.0401097299261615,0.545262746663031,"female","type_2"
"7490","SFXN1","Sideroflexin-1",-0.0401458517663951,0.532174326401497,"female","type_2"
"7491","TFG","Protein TFG",-0.0402123189027996,0.521444465503759,"female","type_2"
"7492","PPIL3","Peptidyl-prolyl cis-trans isomerase-like 3",-0.0403291721841068,0.527957173969356,"female","type_2"
"7493","FGGY","FGGY carbohydrate kinase domain-containing protein",-0.0405161360297779,0.521697712825059,"female","type_2"
"7494","PSMD5","26S proteasome non-ATPase regulatory subunit 5",-0.0405831139226276,0.522158399389132,"female","type_2"
"7495","EIF5","Eukaryotic translation initiation factor 5",-0.0406247844894363,0.476490091787829,"female","type_2"
"7496","UQCR10","Cytochrome b-c1 complex subunit 9",-0.0409519719646241,0.563085665335333,"female","type_2"
"7497","ADI1","Acireductone dioxygenase",-0.0411127653351926,0.503930773676905,"female","type_2"
"7498","UQCRH","Cytochrome b-c1 complex subunit 6, mitochondrial",-0.0413148768193139,0.503263303080052,"female","type_2"
"7499","SORD","Sorbitol dehydrogenase",-0.0413163474610805,0.538727327818798,"female","type_2"
"7500","RBBP7","Histone-binding protein RBBP7",-0.0415356003014971,0.49620071032132,"female","type_2"
"7501","EIF2B3","Translation initiation factor eIF-2B subunit gamma",-0.0416649401440718,0.537619047972482,"female","type_2"
"7502","TIMM9","Mitochondrial import inner membrane translocase subunit Tim9",-0.0417843652831458,0.4858526194083,"female","type_2"
"7503","MYCBP","c-Myc-binding protein",-0.042314674824226,0.503930773676905,"female","type_2"
"7504","PDXK","Pyridoxal kinase",-0.0426511443090352,0.490594453097534,"female","type_2"
"7505","QDPR","Dihydropteridine reductase",-0.0428846005813988,0.495188119412432,"female","type_2"
"7506","SRPRB","Signal recognition particle receptor subunit beta",-0.042995977067223,0.488034866168686,"female","type_2"
"7507","HYCC1","Hyccin",-0.0433757459883832,0.532174326401497,"female","type_2"
"7508","UFSP2","Ufm1-specific protease 2",-0.0434660464568601,0.577959604838889,"female","type_2"
"7509","RPS3A","40S ribosomal protein S3a",-0.043974097653118,0.509054928304157,"female","type_2"
"7510","RTN4","Reticulon-4",-0.0440257629314065,0.473991553551071,"female","type_2"
"7511","ATP6V1G1","V-type proton ATPase subunit G 1",-0.0441409805291784,0.508699203497269,"female","type_2"
"7512","DST","Dystonin",-0.0442229191335262,0.538327439508882,"female","type_2"
"7513","DDX6","Probable ATP-dependent RNA helicase DDX6",-0.0442756755117806,0.503930773676905,"female","type_2"
"7514","SQSTM1","Sequestosome-1",-0.0445571039749524,0.531085480605433,"female","type_2"
"7515","FKBP1A","Peptidyl-prolyl cis-trans isomerase FKBP1A",-0.0449923231845464,0.459864301107304,"female","type_2"
"7516","DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",-0.0456494795454496,0.481427052711337,"female","type_2"
"7517","EHD2","EH domain-containing protein 2",-0.0458061711095805,0.464611512271475,"female","type_2"
